프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구시청자수(K),개인시청자수(K),남성시청자수(K),여성시청자수(K),10대시청자수(K),20대시청자수(K),30대시청자수(K),40대시청자수(K),50대시청자수(K),TVVOD시청자수(K),PC실시간(K),PCVOD(K),Mobile실시간(K),MobileVOD(K)
스토브리그,2019.12.13,SBS,금,"42,064","150,748","14,407","5,394",271,"2,545","3,170","1,420","1,749",167,218,304,876,996,434,291,386,"1,033","1,319"
사랑의불시착,2019.12.14,tvN,토일,"38,239","249,171","41,477","5,955",379,"2,290","3,106","1,207","1,898",278,211,344,991,776,575,676,602,"3,208","2,647"
낭만닥터김사부2,2020.01.06,SBS,월화,"14,613","73,565","11,054","7,492",331,"3,026","3,632","1,560","2,072",231,196,273,954,"1,067",791,301,497,920,"1,391"
블랙독,2019.12.16,tvN,월화,"5,876","23,347","5,628","2,662",384,893,979,319,660,54,60,94,311,305,243,374,289,967,"1,001"
간택-여인들의전쟁,2019.12.14,TVCHOS,토일,"2,957","9,929","2,151","2,009",161,738,791,342,449,15,48,34,116,210,79,86,100,290,354
검사내전,2019.12.16,JTBC,월화,"2,841","8,236","1,362","2,055",311,673,749,320,430,22,51,55,189,264,247,146,202,333,489
사랑은뷰티풀인생은원더풀,2019.09.28,KBS2,토일,"2,380","11,709","3,190","1,123",241,"4,904","5,395","2,040","3,355",126,264,307,672,"1,294",189,86,158,587,435
이태원클라쓰,2020.01.31,JTBC,금,"2,292","9,549",615,"2,912",104,110,102,39,62,0,5,4,17,36,212,-,-,8,-
99억의여자,2019.12.04,KBS2,수목,"1,567","7,483","1,118","3,527",203,"1,743","1,796",642,"1,155",49,102,78,341,628,378,87,93,262,315
머니게임,2020.01.15,tvN,수목,"1,360","4,154",827,"3,282",307,409,476,187,289,25,23,39,145,145,96,93,73,323,367
싸이코패스다이어리,2019.11.20,tvN,수목,"1,299","4,494",891,727,177,488,634,221,413,57,40,76,208,161,102,44,64,387,373
초콜릿,2019.11.29,JTBC,금,"1,231","11,903","2,291","1,668",159,807,863,279,584,46,34,53,246,273,141,114,185,276,306
더게임0시를향하여,2020.01.22,MBC,수목,"1,111","4,950",336,"3,157",334,691,831,328,503,43,35,62,255,210,77,47,43,77,85
터치,2020.01.03,채널A,금,973,"5,661","2,357","2,846",364,164,192,73,119,10,10,10,45,56,46,14,60,409,584
포레스트,2020.01.29,KBS2,수목,897,"5,486",310,"2,686",109,"1,190","1,273",453,820,36,76,70,320,423,40,39,15,48,40
하자있는인간들,2019.11.27,MBC,수목,540,"5,685",607,"1,486",311,492,524,193,331,27,16,24,147,133,38,33,82,111,112
두번은없다,2019.11.02,MBC,토일,424,"1,409",303,444,155,"1,878","1,933",709,"1,224",18,98,81,194,515,168,14,13,135,143
본대로말하라,2020.02.01,OCN,토일,311,"1,914",123,"1,161",57,-,-,-,-,-,-,-,-,-,-,-,-,-,-
드라마스테이지2020,2019.11.23,tvN,수목,222,388,104,383,190,150,164,54,110,7,6,18,41,51,91,40,36,71,58
엑스엑스(XX),2020.01.24,MBC,금,191,"6,749","3,084","1,600",86,310,346,136,210,24,30,25,92,103,4,-,36,15,151
하이에나,2020.02.21,SBS,금,92,336,42,128,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
방법,2020.02.10,tvN,월화,87,306,18,382,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
하이바이마마,2020.02.22,tvN,토일,49,131,11,132,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
루왁인간,2019.12.30,JTBC,월화,41,85,1,46,2,-,-,-,-,-,-,-,-,-,-,13,13,-,25
사랑의불시착,2019.12.14,tvN,토일,"44,016","265,753","47,398","5,543",518,"3,318","4,882","1,909","2,973",513,353,563,"1,468","1,153",811,"5,182","4,228","19,108","15,179"
이태원클라쓰,2020.01.31,JTBC,금,"42,655","173,119","21,847","6,687",408,"2,148","2,843","1,162","1,681",296,204,329,862,745,752,"1,314","2,256","5,406","7,956"
스토브리그,2019.12.13,SBS,금,"25,807","99,768","9,093","4,423",238,"2,762","3,607","1,662","1,946",259,257,386,984,"1,080",737,"1,452","1,918","4,479","5,226"
낭만닥터김사부2,2020.01.06,SBS,월화,"23,187","131,337","22,659","5,681",311,"3,913","4,749","1,891","2,858",365,250,333,"1,183","1,402",646,"1,075","2,673","3,313","7,279"
하이에나,2020.02.21,SBS,금,"3,661","20,233","2,374","3,189",149,"1,664","2,020",834,"1,186",105,134,155,546,669,346,376,378,"1,294","1,326"
하이바이마마,2020.02.22,tvN,토일,"3,401","27,077","7,295","2,573",200,"1,131","1,618",620,998,131,107,200,486,401,237,515,420,"3,265","2,314"
방법,2020.02.10,tvN,월화,"2,458","8,199","1,274","2,686",266,612,717,253,464,48,38,81,255,186,225,791,465,"1,859","1,423"
사랑은뷰티풀인생은원더풀,2019.09.28,KBS2,토일,"2,408","15,910","4,367","1,065",299,"5,315","5,966","2,239","3,727",146,276,360,723,"1,489",78,334,471,"2,433","2,581"
본대로말하라,2020.02.01,OCN,토일,"1,937","7,048",946,"1,437",404,517,701,285,417,41,39,119,239,150,187,-,-,-,-
머니게임,2020.01.15,tvN,수목,"1,893","12,432","2,455","1,678",338,365,417,170,247,28,13,44,122,129,58,138,279,838,"1,342"
간택-여인들의전쟁,2019.12.14,TVCHOS,토일,"1,728","5,336","1,991",527,80,964,"1,058",449,609,21,58,78,125,278,107,232,416,"1,075","1,585"
날씨가좋으면찾아가겠어요,2020.02.24,JTBC,월화,"1,655","11,172","1,192","1,608",125,340,340,103,237,14,17,21,100,114,67,93,140,138,135
블랙독,2019.12.16,tvN,월화,"1,402","5,763","1,316","1,020",97,855,928,316,611,34,47,113,317,275,22,424,425,"1,022","1,120"
검사내전,2019.12.16,JTBC,월화,"1,353","5,378","1,125","1,120",137,711,758,332,426,24,38,61,177,282,135,141,470,505,"1,650"
포레스트,2020.01.29,KBS2,수목,"1,205","8,078","1,464","3,241",219,"1,128","1,258",449,809,52,70,55,322,348,111,331,518,974,"1,007"
더게임0시를향하여,2020.01.22,MBC,수목,"1,036","3,919",598,"2,295",452,428,556,267,289,45,10,77,140,139,68,328,609,303,547
엑스엑스(XX),2020.01.24,MBC,금,650,"18,241","8,020",710,66,311,347,137,210,25,30,35,101,110,28,234,608,535,"2,404"
안녕드라큘라,2020.02.17,JTBC,월화,540,"3,714",208,"1,195",68,207,192,53,139,7,7,13,45,59,51,-,187,34,67
터치,2020.01.03,채널A,금,539,"2,732",973,"1,108",257,139,158,63,95,11,10,5,29,49,36,284,518,294,731
두번은없다,2019.11.02,MBC,토일,443,"2,573",586,600,270,"2,086","2,170",789,"1,380",24,90,119,208,587,106,47,91,515,700
아무도모른다,2020.03.02,SBS,월화,299,838,50,"1,157",19,-,-,-,-,-,-,-,-,-,-,708,"2,254",696,"2,663"
슬기로운의사생활,2020.03.12,tvN,수목,260,"1,707",90,529,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
메모리스트,2020.03.11,tvN,수목,177,"1,167",86,513,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
유별나!문셰프,2020.03.27,채널A,금,85,266,9,410,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
그남자의기억법,2020.03.18,MBC,수목,34,51,0,96,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
루갈,2020.03.28,OCN,토일,25,49,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
드라마스테이지2020,2019.11.23,tvN,수목,1,8,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,33
이태원클라쓰,2020.01.31,JTBC,금,"39,653","257,802","34,666","7,257",459,"2,728","4,442","1,919","2,523",449,420,478,"1,208","1,167",921,"2,255","3,761","5,738","9,234"
하이바이마마,2020.02.22,tvN,토일,"17,308","98,417","21,302","3,918",384,"1,264","2,179",913,"1,266",201,235,279,557,546,352,"1,596","1,641","6,509","6,046"
하이에나,2020.02.21,SBS,금,"10,975","56,829","6,531","4,201",292,"1,536","2,365","1,063","1,302",126,171,259,612,609,416,610,"1,263","2,756","3,653"
슬기로운의사생활,2020.03.12,tvN,수목,"10,465","67,161","8,336","5,318",175,"1,578","2,588","1,041","1,547",209,227,370,826,586,470,"1,870","1,450","6,189","4,693"
부부의세계,2020.03.27,JTBC,금,"5,649","44,988","6,057","3,157",98,"1,163","1,792",723,"1,069",54,159,192,465,483,163,278,278,"2,894","2,301"
날씨가좋으면찾아가겠어요,2020.02.24,JTBC,월화,"4,835","37,135","5,336","2,421",284,396,574,234,341,31,49,72,173,146,173,281,470,874,"1,455"
반의반,2020.03.23,tvN,월화,"3,443","14,696","1,226","3,602",234,389,587,243,344,46,55,63,169,153,71,182,92,436,268
그남자의기억법,2020.03.18,MBC,수목,"2,978","13,630","1,504","3,581",314,363,527,279,248,22,46,68,92,120,82,282,328,605,648
메모리스트,2020.03.11,tvN,수목,"2,773","10,047","1,036","3,770",300,639,980,385,595,86,86,107,289,267,110,416,656,"1,494","1,075"
365운명을거스르는1년,2020.03.23,MBC,월화,"2,595","7,535",711,"2,824",248,890,"1,253",511,742,46,62,193,290,286,84,187,93,570,571
사랑은뷰티풀인생은원더풀,2019.09.28,KBS2,토일,"2,460","9,221","4,660","1,216",237,"5,329","7,417","2,973","4,445",255,422,586,877,"1,736",86,469,608,"2,738","2,509"
아무도모른다,2020.03.02,SBS,월화,"2,193","8,384","1,257","4,068",318,"1,500","2,191",903,"1,288",116,161,191,449,586,260,138,278,956,"1,258"
방법,2020.02.10,tvN,월화,"2,150","8,025","3,756","2,465",184,"1,003","1,524",662,862,105,121,232,436,397,183,"1,405",990,"2,811","2,067"
본대로말하라,2020.02.01,OCN,토일,"1,465","5,087","1,177",996,292,535,812,360,452,38,53,103,245,227,130,-,-,-,-
어서와,2020.03.25,KBS2,수목,"1,325","5,894",449,"2,383",127,516,756,278,478,36,58,107,132,193,64,47,93,67,247
머니게임,2020.01.15,tvN,수목,"1,170","10,736","1,234",709,78,341,535,213,322,28,38,64,130,164,7,-,93,134,736
루갈,2020.03.28,OCN,토일,"1,148","4,749",280,"2,130",141,652,970,486,484,68,60,97,267,317,239,-,-,-,-
한번다녀왔습니다,2020.03.28,KBS2,토일,948,"15,193",877,"2,739",95,"4,620","6,357","2,538","3,819",244,374,469,794,"1,426",240,140,47,846,311
포레스트,2020.01.29,KBS2,수목,652,"3,510","1,010","2,246",149,821,"1,122",472,650,48,62,96,194,321,136,188,282,670,"1,173"
유별나!문셰프,2020.03.27,채널A,금,413,"1,534",160,"1,569",81,174,231,104,128,8,19,10,43,95,-,48,48,168,269
더킹영원의군주,2020.04.17,SBS,금,406,"2,537",341,299,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
더게임0시를향하여,2020.01.22,MBC,수목,393,"1,270",219,"1,231",228,729,"1,044",453,592,63,61,99,193,251,84,142,805,235,469
어쩌다가족,2020.03.29,TVCHOS,토일,293,564,45,"1,409",33,330,424,177,248,18,14,30,81,123,-,-,-,34,67
낭만닥터김사부2,2020.01.06,SBS,월화,186,"1,440",1,7,2,-,-,-,-,-,-,-,-,-,-,517,938,34,"1,737"
계약우정,2020.04.06,KBS2,월화,183,557,22,393,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
두번은없다,2019.11.02,MBC,토일,136,746,153,237,55,"2,191","3,014","1,142","1,873",110,164,232,336,836,6,-,48,235,633
화양연화삶이꽃이되는순간,2020.04.25,tvN,토일,79,"1,100",53,471,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
본어게인,2020.04.20,KBS2,월화,24,102,13,110,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
부부의세계,2020.03.27,JTBC,금,"63,617","475,364","63,551","10,699",486,"2,751","4,321","1,734","2,587",201,452,608,947,"1,219",729,"2,159","2,628","11,084","12,668"
더킹영원의군주,2020.04.17,SBS,금,"39,864","149,447","4,862","5,703",198,"1,725","2,725","1,168","1,557",180,212,386,702,678,374,561,980,"2,129","2,359"
슬기로운의사생활,2020.03.12,tvN,수목,"29,388","150,572","22,169","5,020",288,"2,121","3,508","1,448","2,061",253,350,548,"1,077",803,450,"3,611","3,470","11,375","10,346"
하이바이마마,2020.02.22,tvN,토일,"20,209","69,418","9,523","1,471",223,983,"1,676",713,963,130,196,254,438,424,219,794,750,"3,913","3,557"
그남자의기억법,2020.03.18,MBC,수목,"13,898","92,572","6,061","3,276",591,699,997,405,592,57,78,142,174,242,145,423,467,"1,425","1,872"
365운명을거스르는1년,2020.03.23,MBC,월화,"7,369","35,458","1,548","2,799",466,869,"1,285",538,747,54,94,155,310,280,105,420,518,"1,181","1,584"
하이에나,2020.02.21,SBS,금,"7,175","35,009","3,482","1,848",130,"1,771","2,660","1,176","1,485",144,189,279,624,692,247,562,"1,127","1,721","1,994"
날씨가좋으면찾아가겠어요,2020.02.24,JTBC,월화,"4,701","34,687","4,551","1,607",235,403,596,232,364,29,42,78,164,177,63,235,563,738,"1,778"
반의반,2020.03.23,tvN,월화,"4,530","22,677","2,113","2,680",356,264,414,188,226,36,40,39,117,105,71,475,426,638,"1,010"
메모리스트,2020.03.11,tvN,수목,"3,912","12,709","1,352","2,722",425,531,826,325,502,64,58,90,265,212,134,654,802,"1,786","1,724"
한번다녀왔습니다,2020.03.28,KBS2,토일,"2,217","19,895","2,895","3,623",295,"4,901","6,792","2,779","4,013",277,402,501,875,"1,589",203,796,"1,031","3,452","3,669"
본어게인,2020.04.20,KBS2,월화,"2,188","5,930",481,"2,592",129,628,936,420,516,51,63,127,182,254,34,139,277,537,601
루갈,2020.03.28,OCN,토일,"1,880","7,202","1,418","1,482",372,453,704,349,355,45,61,65,176,215,215,-,-,-,-
아무도모른다,2020.03.02,SBS,월화,"1,693","6,004",886,"2,689",184,"1,634","2,425","1,014","1,411",124,184,217,524,644,173,138,375,609,"1,013"
어서와,2020.03.25,KBS2,수목,"1,590","20,230",975,"2,431",452,374,568,235,333,34,45,71,114,113,102,140,469,557,"1,919"
굿캐스팅,2020.04.27,SBS,월화,"1,572","6,254",906,"2,618",111,"1,862","2,921","1,283","1,638",158,229,307,758,785,198,279,233,980,644
계약우정,2020.04.06,KBS2,월화,"1,403","3,963",206,"2,052",116,445,672,299,373,32,66,77,149,189,72,93,280,301,460
화양연화삶이꽃이되는순간,2020.04.25,tvN,토일,"1,268","7,555","1,606","2,524",131,819,"1,226",555,670,48,82,179,305,338,41,325,234,909,574
유별나!문셰프,2020.03.27,채널A,금,510,"1,542",252,"1,213",302,115,189,96,93,11,21,14,35,63,33,282,332,738,"1,039"
영혼수선공,2020.05.06,KBS2,수목,311,"1,111",39,829,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
오마이베이비,2020.05.13,tvN,수목,307,"1,299",69,356,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
저녁같이드실래요,2020.05.25,MBC,월화,125,511,11,246,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
어쩌다가족,2020.03.29,TVCHOS,토일,118,616,26,638,21,188,214,89,125,8,5,11,29,67,-,-,95,67,213
쌍갑포차,2020.05.20,JTBC,수목,81,544,47,132,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
외출,2020.05.04,tvN,월화,54,77,8,200,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
번외수사,2020.05.23,OCN,토일,16,27,0,84,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
더킹영원의군주,2020.04.17,SBS,금,"53,177","230,527","7,876","5,045",288,"1,369","2,176",929,"1,247",156,162,303,517,533,480,188,270,902,"1,225"
부부의세계,2020.03.27,JTBC,금,"44,505","268,018","38,471","7,344",327,"3,768","6,036","2,454","3,583",255,642,834,"1,299","1,634",163,410,517,"2,690","2,607"
슬기로운의사생활,2020.03.12,tvN,수목,"22,702","138,618","19,519","7,364",345,"2,366","4,054","1,706","2,348",344,409,630,"1,224",920,470,"1,302","1,114","3,713","3,768"
그남자의기억법,2020.03.18,MBC,수목,"8,506","62,417","2,930","1,592",183,655,966,381,584,51,82,139,194,232,82,82,94,228,333
꼰대인턴,2020.05.20,MBC,수목,"3,856","34,167","1,165","7,207",237,498,792,394,397,91,66,129,204,155,191,94,106,344,392
오마이베이비,2020.05.13,tvN,수목,"3,416","10,980","1,620","2,837",287,437,680,274,406,49,65,115,197,145,60,188,329,462,507
한번다녀왔습니다,2020.03.28,KBS2,토일,"3,081","32,166","10,209","3,701",414,"4,970","6,928","2,864","4,063",265,434,562,931,"1,619",240,152,201,"1,276","1,019"
쌍갑포차,2020.05.20,JTBC,수목,"2,945","17,545","1,038","2,985",160,506,769,342,427,34,55,124,225,181,327,84,107,312,411
본어게인,2020.04.20,KBS2,월화,"2,494","14,081","2,138","2,140",204,459,632,236,396,23,48,68,109,174,86,12,47,184,386
화양연화삶이꽃이되는순간,2020.04.25,tvN,토일,"2,371","15,853","5,856","3,134",396,664,"1,023",433,590,40,76,128,227,258,141,140,152,618,469
굿캐스팅,2020.04.27,SBS,월화,"1,856","7,173","2,529","3,378",278,"1,673","2,632","1,180","1,453",143,194,291,632,717,217,71,177,455,940
영혼수선공,2020.05.06,KBS2,수목,"1,779","11,368","1,285","4,050",221,557,805,341,464,34,56,74,172,204,189,94,166,260,438
저녁같이드실래요,2020.05.25,MBC,월화,964,"4,361","1,025","2,735",161,487,695,300,395,33,62,134,153,162,58,-,35,101,101
루갈,2020.03.28,OCN,토일,912,"3,596",486,761,279,374,553,275,278,32,37,37,124,200,239,-,-,-,-
야식남녀,2020.05.25,JTBC,월화,905,"2,498",238,"2,217",84,220,305,124,180,2,29,32,82,96,9,36,36,51,42
번외수사,2020.05.23,OCN,토일,766,"3,163","1,301","2,126",220,462,748,360,388,29,50,93,248,199,241,24,59,33,301
바람과구름과비,2020.05.17,TVCHOS,토일,709,"2,317",184,"1,818",93,519,717,345,371,15,54,40,72,279,140,47,59,101,156
사이코지만괜찮아,2020.06.20,tvN,토일,498,"3,340",156,484,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
외출,2020.05.04,tvN,월화,433,"1,084",697,673,73,516,762,322,440,42,58,71,171,217,24,35,35,134,84
365운명을거스르는1년,2020.03.23,MBC,월화,270,"1,878",13,0,4,-,-,-,-,-,-,-,-,-,-,-,35,17,17
유별나!문셰프,2020.03.27,채널A,금,245,666,307,819,215,131,184,93,91,4,18,19,25,57,-,48,59,67,160
편의점샛별이,2020.06.19,SBS,금,242,"1,230",52,519,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
메모리스트,2020.03.11,tvN,수목,151,875,31,275,2,-,-,-,-,-,-,-,-,-,-,-,35,84,119
어서와,2020.03.25,KBS2,수목,94,470,13,85,2,-,-,-,-,-,-,-,-,-,-,-,71,17,39
아는건별로없지만가족입니다,2020.06.01,tvN,월화,91,240,62,894,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
반의반,2020.03.23,tvN,월화,64,313,14,3,0,-,-,-,-,-,-,-,-,-,-,12,12,-,34
행복의진수,2020.05.18,JTBC,월화,43,102,23,80,48,210,290,135,155,7,18,49,90,84,8,-,35,-,54
어쩌다가족,2020.03.29,TVCHOS,토일,33,37,2,97,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
더킹영원의군주,2020.04.17,SBS,금,"17,156","81,157","2,728","1,869",107,"1,234","1,961",834,"1,126",126,130,279,454,502,215,233,515,"1,229","2,472"
사이코지만괜찮아,2020.06.20,tvN,토일,"16,138","77,534","8,181","4,987",295,970,"1,568",619,949,123,164,186,433,364,419,940,"1,129","5,986","6,801"
한번다녀왔습니다,2020.03.28,KBS2,토일,"8,382","96,408","16,836","3,690",334,"5,158","7,281","3,000","4,281",283,445,623,"1,012","1,715",305,984,"1,785","5,525","7,625"
꼰대인턴,2020.05.20,MBC,수목,"5,031","60,944","2,579","6,912",230,"1,044","1,515",679,835,66,102,150,312,471,187,376,562,"1,948","4,437"
편의점샛별이,2020.06.19,SBS,금,"4,782","37,544","2,408","4,166",180,"1,035","1,613",799,814,90,100,238,351,407,294,233,374,"2,282","2,897"
쌍갑포차,2020.05.20,JTBC,수목,"3,976","18,275","2,536","2,505",258,612,932,380,552,64,73,98,239,300,369,378,710,"1,609","3,040"
오마이베이비,2020.05.13,tvN,수목,"2,829","15,494","3,287","2,404",354,281,405,142,264,15,28,75,125,90,111,233,560,"1,609","2,678"
아는건별로없지만가족입니다,2020.06.01,tvN,월화,"2,702","11,417","10,954","3,368",457,582,877,341,537,49,74,99,203,255,109,941,"1,606","4,435","6,307"
저녁같이드실래요,2020.05.25,MBC,월화,"2,396","12,777","3,380","3,264",566,754,"1,090",459,630,49,81,149,222,309,113,612,986,"1,675","2,075"
바람과구름과비,2020.05.17,TVCHOS,토일,"1,443","20,275","1,269","2,133",187,762,"1,080",501,579,28,73,90,82,380,210,187,422,"1,254","2,746"
본어게인,2020.04.20,KBS2,월화,"1,228","8,450",748,876,97,389,537,213,324,39,32,45,101,144,32,47,283,404,776
굿캐스팅,2020.04.27,SBS,월화,"1,158","5,811","2,414","2,711",192,"1,418","2,184",969,"1,214",97,144,267,503,531,104,47,471,"1,274","2,639"
번외수사,2020.05.23,OCN,토일,"1,016","1,991",549,"1,413",385,549,903,419,484,54,58,131,323,193,174,189,381,505,"1,183"
영혼수선공,2020.05.06,KBS2,수목,873,"2,838",287,"2,400",199,405,542,222,320,19,29,64,100,133,70,234,377,919,999
야식남녀,2020.05.25,JTBC,월화,842,"2,031",543,"1,783",280,132,192,86,106,5,19,20,47,52,48,-,142,202,444
화양연화삶이꽃이되는순간,2020.04.25,tvN,토일,650,"3,171","1,713","1,043",143,730,"1,128",465,663,47,112,114,247,275,68,377,986,875,"1,509"
출사표,2020.07.01,KBS2,수목,262,"5,545",112,"1,250",29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
우아한친구들,2020.07.10,JTBC,금,129,292,42,617,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
우리사랑했을까,2020.07.08,JTBC,수목,116,900,143,416,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
그놈이그놈이다,2020.07.06,KBS2,월화,96,856,31,807,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
트레인,2020.07.11,OCN,토일,82,589,26,445,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
모범형사,2020.07.06,JTBC,월화,80,180,73,408,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
미쓰리는알고있다,2020.07.08,MBC,수목,64,101,4,325,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
