프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구시청자수(K),개인시청자수(K),남성시청자수(K),여성시청자수(K),10대시청자수(K),20대시청자수(K),30대시청자수(K),40대시청자수(K),50대시청자수(K),TVVOD시청자수(K),PC실시간(K),PCVOD(K),Mobile실시간(K),MobileVOD(K)
KBS드라마스페셜2020,2020.11.07,KBS2,수목,495,"1,370",118,"1,776",90,248,334,146,188,21,31,34,55,88,-,-,-,-,-
제발그남자만나지마요,2020.11.10,MBCeve,월화,376,"1,783",209,810,156,70,115,41,73,9,13,13,40,32,0.1,810,"2,329",650,"2,791"
선배그립스틱바르지마요,2021.01.18,JTBC,월화,46,762,152,216,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
펜트하우스,2020.10.26,SBS,월화,"36,973","181,639","21,507","4,988",124,"4,412","7,140","2,930","4,210",400,721,780,"1,445","2,086",0.3,-,-,-,-
경이로운소문,2020.11.28,OCN,토일,"27,593","130,908","14,767","4,695",495,"2,122","4,080","1,881","2,199",420,421,511,"1,218",997,3.2,"1,239","8,089","7,929","47,238"
철인왕후,2020.12.12,tvN,토일,"26,176","144,293","46,906","4,408",550,"2,219","4,018","1,768","2,250",289,348,423,"1,177","1,047",2.4,"6,846","12,393","51,047","132,385"
여신강림,2020.12.09,tvN,수목,"15,639","185,795","33,231","5,741",619,783,"1,478",582,896,212,118,206,438,254,1.2,393,"1,802","30,517","64,532"
런온,2020.12.16,JTBC,수목,"13,724","75,571","5,007","3,294",329,487,839,339,500,52,63,92,211,216,1.3,"1,224","8,791","6,357","14,550"
펜트하우스2,2021.02.19,SBS,금,"8,219","25,597",492,333,13,-,-,-,-,-,-,-,-,-,-,826,"3,518","9,133","51,796"
오!삼광빌라!,2020.09.19,KBS2,토일,"4,874","13,259","4,266","2,306",336,"5,192","7,640","3,239","4,401",318,571,527,929,"1,902",0.5,"1,687","3,742","12,639","6,730"
선배그립스틱바르지마요,2021.01.18,JTBC,월화,"3,028","16,125","1,750","3,096",170,378,609,242,367,40,67,92,111,152,0.2,223,"3,512","1,218","1,352"
허쉬,2020.12.11,JTBC,금,"2,032","4,177",222,"1,989",253,358,582,291,291,22,43,43,155,132,0.4,719,"1,090","1,948","4,493"
암행어사조선비밀수사단,2020.12.21,KBS2,월화,"1,775","8,867","1,065","3,424",238,"1,650","2,409","1,118","1,291",99,146,151,404,634,0.6,797,"1,693","5,126","16,506"
결혼작사이혼작곡,2021.01.23,TVCHOS,토일,"1,475","11,637","1,865","3,252",75,"1,043","1,481",586,896,32,98,99,154,316,0.3,304,168,"1,271","2,415"
날아라개천용,2020.10.30,SBS,금,"1,317","7,574","1,531","3,456",210,941,"1,486",722,764,75,109,125,325,416,0.3,"1,968","2,514","6,237","9,602"
낮과밤,2020.11.30,tvN,월화,"1,286","4,982","3,218","2,450",266,904,"1,372",614,758,81,99,116,388,407,0.4,"1,061","1,106","7,431","23,675"
바람피면죽는다,2020.12.02,KBS2,수목,970,"1,223",444,"3,065",190,544,730,316,414,41,48,64,116,209,0.1,-,49,904,"3,889"
라이브온,2020.11.17,JTBC,월화,832,"7,533","1,627","1,067",35,160,293,133,160,18,21,77,51,31,0.1,-,-,499,"1,055"
빈센조,2021.02.20,tvN,토일,474,"2,167",489,563,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
루카더비기닝,2021.02.01,tvN,월화,425,"1,494",380,"1,578",41,-,-,-,-,-,-,-,-,-,-,-,-,-,-
시지프스,2021.02.17,JTBC,수목,180,"1,116",84,211,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
복수해라,2020.11.21,TVCHOS,토일,167,229,55,524,63,411,558,228,331,18,30,28,53,147,0.1,-,-,"1,743","3,104"
제발그남자만나지마요,2020.11.10,MBCeve,월화,167,723,94,662,61,76,161,69,92,20,21,6,48,45,0,518,"3,282",111,318
달이뜨는강,2021.02.15,KBS2,월화,125,515,4,174,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
안녕나야,2021.02.17,KBS2,수목,104,233,2,209,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
괴물,2021.02.19,JTBC,금,78,387,96,316,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
타임즈,2021.02.20,OCN,토일,45,83,0,203,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
구미호레시피,2021.02.12,KBS1,금,22,93,12,48,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
펜트하우스2,2021.02.19,SBS,금,"21,202","200,554","35,742","8,095",356,"3,651","6,234","2,587","3,647",512,611,818,"1,215","1,683",1.1,"2,039","1,684","23,236","37,999"
빈센조,2021.02.20,tvN,토일,"5,652","38,873","7,377","4,250",286,"1,599","2,796","1,202","1,594",187,224,284,867,739,1.9,191,671,"9,578","19,799"
철인왕후,2020.12.12,tvN,토일,"4,381","46,302","27,001","2,213",280,"2,638","4,823","2,148","2,675",329,411,517,"1,331","1,301",0.7,"1,779","17,432","26,620","166,272"
시지프스,2021.02.17,JTBC,수목,"3,724","16,142","1,305","3,059",148,997,"1,665",725,940,74,142,157,455,489,0.8,70,274,"3,435","4,662"
여신강림,2020.12.09,tvN,수목,"3,081","58,752","9,213","1,783",168,774,"1,420",530,889,190,100,213,456,228,0.4,608,"11,040","6,340","33,300"
괴물,2021.02.19,JTBC,금,"2,567","9,658",498,"2,942",161,679,"1,145",492,653,58,77,131,291,354,0.3,682,228,"3,439","6,588"
루카더비기닝,2021.02.01,tvN,월화,"2,474","10,436","4,034","3,257",481,"1,077","1,808",828,980,99,129,158,557,556,0.9,"3,399","7,165","8,377","20,815"
오!삼광빌라!,2020.09.19,KBS2,토일,"2,270","9,643","4,017","1,954",279,"5,155","7,689","3,224","4,464",339,502,541,987,"1,885",0.4,999,"5,577","8,666","12,090"
선배그립스틱바르지마요,2021.01.18,JTBC,월화,"2,127","17,603","4,713","1,664",306,338,533,214,319,33,40,78,82,128,0.4,143,"5,599","1,059","6,019"
런온,2020.12.16,JTBC,수목,"1,907","10,853","1,229","1,305",85,475,795,345,450,49,54,93,226,194,0.3,54,"2,312","1,391","11,782"
달이뜨는강,2021.02.15,KBS2,월화,"1,816","11,710",919,"3,617",131,"1,481","2,115",966,"1,149",79,91,190,414,568,0.4,"1,359","3,727","1,351","3,868"
결혼작사이혼작곡,2021.01.23,TVCHOS,토일,"1,707","7,322","3,269","2,607",175,"1,080","1,508",566,942,45,81,94,146,344,0.6,166,"2,634","4,356","7,424"
안녕나야,2021.02.17,KBS2,수목,930,"2,376",371,"2,972",128,655,963,446,517,76,40,84,186,259,0.4,547,145,466,"3,014"
암행어사조선비밀수사단,2020.12.21,KBS2,월화,848,"4,229",671,"1,701",105,"2,155","3,140","1,457","1,683",99,181,231,446,869,0.3,456,116,"1,874","5,470"
타임즈,2021.02.20,OCN,토일,746,"4,329",609,"1,575",227,394,654,321,333,36,51,59,165,221,0.2,-,-,771,"1,639"
마우스,2021.03.03,tvN,수목,434,"4,511",345,878,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-
디어엠(Dear.M),2021.02.26,KBS2,금,427,"4,665",843,480,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
허쉬,2020.12.11,JTBC,금,349,"1,257",183,624,63,360,551,288,263,19,31,46,162,130,0.1,40,806,269,"2,453"
구미호레시피,2021.02.12,KBS1,금,113,168,29,508,40,400,523,242,281,32,40,51,66,87,-,-,-,4,17
러브씬넘버#,2021.02.01,MBC,월화,112,166,29,900,51,400,558,274,284,27,38,72,111,119,0,51,-,763,"2,008"
드라마스테이지2021,2021.03.03,tvN,수목,89,"1,002",25,346,5,-,-,-,-,-,-,-,-,-,-,-,-,-,27
오케이광자매,2021.03.13,KBS2,토일,52,34,7,247,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경로를이탈하였습니다,2021.03.15,JTBC,월화,12,206,34,104,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
펜트하우스2,2021.02.19,SBS,금,"37,972","393,153","95,113","8,086",421,"4,383","7,207","2,961","4,246",495,670,961,"1,391","1,957",1.1,"4,354","16,479","51,298","158,737"
빈센조,2021.02.20,tvN,토일,"15,069","146,658","25,567","5,428",674,"1,895","3,219","1,473","1,745",220,267,377,920,840,1.9,"2,432","19,546","31,670","112,049"
조선구마사,2021.03.22,SBS,월화,"13,460","272,929","6,555","6,817",177,"1,449","2,247","1,062","1,185",96,164,299,568,618,0.1,"1,067",793,"1,902","1,427"
마우스,2021.03.03,tvN,수목,"6,625","40,821","8,650","4,300",490,"1,048","1,699",734,965,90,137,241,491,456,1.4,"2,746","4,469","18,668","52,450"
달이뜨는강,2021.02.15,KBS2,월화,"5,091","73,343","4,413","5,605",271,"1,548","2,204",982,"1,222",71,115,190,374,617,0.4,"2,356","1,935","7,738","12,254"
괴물,2021.02.19,JTBC,금,"4,809","29,228","1,873","3,875",307,770,"1,243",518,725,46,81,164,329,388,0.3,304,"1,643","10,246","23,257"
시지프스,2021.02.17,JTBC,수목,"4,126","23,092","3,255","3,053",336,823,"1,308",591,717,49,116,141,309,428,0.8,465,"6,628","4,617","20,113"
나빌레라,2021.03.22,tvN,월화,"2,726","15,105","1,662","3,260",254,526,796,324,472,39,73,95,173,212,0.5,966,"1,389","2,395","1,180"
오케이광자매,2021.03.13,KBS2,토일,"1,538","4,680",991,"3,272",207,"4,317","6,103","2,565","3,538",205,330,387,766,"1,425",0.4,10,977,"6,344","1,592"
안녕나야,2021.02.17,KBS2,수목,"1,112","3,522",642,"2,079",205,669,994,439,556,63,67,80,180,281,0.4,"1,484","2,555","2,134","10,049"
오!삼광빌라!,2020.09.19,KBS2,토일,874,"5,371","1,071",970,69,"5,361","7,702","3,163","4,539",270,519,549,941,"1,893",0.5,-,"2,473","2,961","4,584"
루카더비기닝,2021.02.01,tvN,월화,836,"4,216","2,157","1,664",211,"1,109","1,790",872,918,94,141,176,440,595,0.9,467,"3,532","4,909","14,600"
선배그립스틱바르지마요,2021.01.18,JTBC,월화,806,"8,003","3,433","1,005",145,313,488,216,272,21,43,46,100,120,0.2,34,"1,233",152,"4,004"
타임즈,2021.02.20,OCN,토일,729,"1,921",814,"1,299",390,350,513,273,239,21,18,58,130,178,0.2,63,"1,098","1,953","15,411"
오주인님,2021.03.24,MBC,수목,726,"5,158",347,"3,010",176,286,436,229,207,11,42,74,81,143,0.1,25,369,602,"1,033"
결혼작사이혼작곡,2021.01.23,TVCHOS,토일,718,"2,938","1,598","1,191",93,"1,058","1,426",567,859,31,69,76,149,301,0.3,339,"1,114","3,204","6,078"
드라마스테이지2021,2021.03.03,tvN,수목,673,"5,049","2,084","1,212",302,213,337,157,180,17,28,59,92,87,0,444,"1,011",895,"6,354"
경로를이탈하였습니다,2021.03.15,JTBC,월화,221,"1,103",137,685,68,375,588,282,306,18,49,73,125,173,0,-,-,-,-
아이를찾습니다,2021.03.22,JTBC,월화,195,731,72,549,70,428,661,259,402,12,41,86,137,204,0,-,-,-,-
모범택시,2021.04.09,SBS,금,153,848,109,625,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대박부동산,2021.04.14,KBS2,수목,123,637,46,395,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
로스쿨,2021.04.14,JTBC,수목,106,961,184,320,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
어쩌다가족,2021.03.21,TVCHOS,토일,81,277,16,455,18,216,288,134,154,11,6,19,47,82,-,-,-,260,114
언더커버,2021.04.23,JTBC,금,28,130,60,144,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
다크홀,2021.04.30,OCN,금,12,71,4,44,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
빈센조,2021.02.20,tvN,토일,"13,081","123,690","24,126","4,142",527,"2,150","3,694","1,649","2,044",247,296,410,"1,019",982,1.9,"5,142","11,537","36,950","161,751"
펜트하우스2,2021.02.19,SBS,금,"5,447","52,099","9,035","1,359",76,"4,574","7,530","3,110","4,420",434,653,"1,047","1,466","2,111",1.1,"1,236","2,963","9,368","29,099"
마우스,2021.03.03,tvN,수목,"4,668","34,812","6,412","2,521",402,"1,089","1,778",761,"1,017",83,139,243,559,481,1.4,"1,163","3,750","21,240","43,350"
모범택시,2021.04.09,SBS,금,"4,426","32,497","9,883","3,997",315,"2,231","3,621","1,707","1,913",192,275,435,855,"1,037",1.8,"2,070","3,498","14,145","63,216"
나빌레라,2021.03.22,tvN,월화,"3,944","20,968","3,779","3,052",454,544,831,343,488,41,96,81,191,230,0.5,"2,459","3,112","4,112","23,994"
대박부동산,2021.04.14,KBS2,수목,"1,893","6,551","1,229","3,389",184,933,"1,413",621,792,66,95,126,347,390,0.5,"1,703","2,858","4,958","14,771"
괴물,2021.02.19,JTBC,금,"1,802","12,470",835,"1,721",136,782,"1,260",542,718,35,91,144,343,419,0.3,176,"6,015","6,248","41,961"
달이뜨는강,2021.02.15,KBS2,월화,"1,591","25,692","1,836","3,531",190,"1,547","2,139",961,"1,178",57,125,180,319,603,0.4,854,"4,835","4,041","4,280"
시지프스,2021.02.17,JTBC,수목,"1,531","9,665","1,161","1,086",120,759,"1,254",575,679,54,113,134,290,389,0.8,653,"4,639","2,063","21,947"
로스쿨,2021.04.14,JTBC,수목,"1,460","12,147","1,652","3,081",216,785,"1,129",481,648,43,98,114,195,390,1.8,676,"4,019","4,479","11,050"
오케이광자매,2021.03.13,KBS2,토일,"1,256","2,818","1,589","2,131",241,"4,444","6,416","2,707","3,709",266,353,422,851,"1,457",0.4,-,28,"6,055","3,959"
오주인님,2021.03.24,MBC,수목,945,"1,755",494,"2,654",295,208,377,180,198,29,47,55,68,75,0.1,"1,033",858,309,"1,764"
언더커버,2021.04.23,JTBC,금,903,"2,976",311,"2,239",98,536,888,427,460,39,60,84,191,298,0.2,466,"1,808","1,208","1,535"
이미테이션,2021.05.07,KBS2,금,630,"4,920",150,686,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
다크홀,2021.04.30,OCN,금,535,"2,614",153,"1,317",99,215,320,161,159,9,29,22,103,112,0,6,-,207,-
안녕나야,2021.02.17,KBS2,수목,459,"1,116",401,872,71,756,"1,145",502,642,62,76,96,225,311,0.4,230,98,"1,547","14,737"
드라마스테이지2021,2021.03.03,tvN,수목,441,"4,541","1,156",604,160,189,259,136,123,9,21,42,83,64,0,-,381,722,"4,320"
오월의청춘,2021.05.03,KBS2,월화,323,"1,579",144,"1,274",19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
어느날우리집현관으로멸망이들어왔다,2021.05.10,tvN,월화,269,"2,065",478,752,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
보쌈-운명을훔치다,2021.05.01,MBN,토일,175,"1,375",53,"1,058",50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
어쩌다가족,2021.03.21,TVCHOS,토일,113,309,26,"1,036",60,152,237,112,126,9,21,16,27,75,-,-,551,128,562
마인,2021.05.08,tvN,토일,85,399,104,712,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
나의너에게,2021.04.19,KBS1,월화,26,68,3,117,0,268,334,152,183,11,21,55,47,63,-,-,"1,001",-,-
목표가생겼다,2021.05.19,MBC,수목,16,18,0,129,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
빈센조,2021.02.20,tvN,토일,"5,942","37,782","4,216",688,114,"2,460","4,304","1,972","2,332",289,407,466,"1,202","1,152",0.8,"3,218","3,864","17,565","59,455"
모범택시,2021.04.09,SBS,금,"5,879","42,475","12,677","4,140",352,"2,569","4,149","1,956","2,193",213,310,474,988,"1,162",2.1,"1,373","21,028","17,097","86,609"
오월의청춘,2021.05.03,KBS2,월화,"4,309","23,870","4,442","3,439",276,970,"1,432",608,824,49,100,137,240,426,0.4,"1,045","2,103","5,806","8,260"
어느날우리집현관으로멸망이들어왔다,2021.05.10,tvN,월화,"3,989","52,713","12,849","4,174",462,744,"1,285",548,737,115,112,140,430,311,0.9,"2,336","3,691","21,471","48,909"
마인,2021.05.08,tvN,토일,"3,924","20,920","14,252","4,358",532,"1,109","1,850",758,"1,092",67,158,193,404,528,1.9,368,305,"19,689","56,729"
로스쿨,2021.04.14,JTBC,수목,"3,187","19,822","5,462","1,889",325,869,"1,350",575,774,52,124,123,247,439,1.5,"1,001","4,815","5,849","62,532"
펜트하우스3,2021.06.04,SBS,금,"3,157","29,080","4,136","1,419",43,-,-,-,-,-,-,-,-,-,-,-,-,620,"12,412"
마우스,2021.03.03,tvN,수목,"2,870","21,462","6,258","1,906",241,"1,172","1,939",798,"1,141",116,155,229,598,543,1.1,763,"3,208","19,654","47,930"
대박부동산,2021.04.14,KBS2,수목,"2,070","7,670","1,860","1,680",190,"1,076","1,614",720,894,73,105,164,413,453,0.5,514,"5,562","6,358","22,902"
간떨어지는동거,2021.05.26,tvN,수목,"1,877","12,525","3,546","1,914",141,861,"1,504",637,867,117,108,170,429,437,0.2,82,763,"7,513","8,913"
이미테이션,2021.05.07,KBS2,금,"1,799","18,276","1,046","1,592",121,252,335,109,225,24,45,38,71,69,0.1,27,"21,579","2,069","9,794"
오케이광자매,2021.03.13,KBS2,토일,"1,750","7,580","4,417","2,654",305,"4,792","6,913","2,927","3,986",240,388,456,911,"1,650",0.5,514,477,"18,027","7,200"
다크홀,2021.04.30,OCN,금,"1,480","8,627",551,"1,629",411,157,250,125,125,17,22,33,68,64,0.3,463,"1,044","1,951","23,229"
언더커버,2021.04.23,JTBC,금,"1,099","3,325",887,"2,226",309,554,878,432,446,21,72,59,142,328,0.4,"1,765","2,404","7,584","17,272"
보쌈-운명을훔치다,2021.05.01,MBN,토일,"1,054","5,448","1,008","2,583",441,854,"1,193",518,675,21,76,65,118,289,0.6,600,"2,300","5,539","7,862"
라켓소년단,2021.05.31,SBS,월화,440,"2,076",250,"1,398",68,"1,047","1,667",698,969,111,105,172,338,499,0.1,-,-,517,-
슬기로운의사생활2,2021.06.17,tvN,수목,404,"2,479",484,417,6,-,-,-,-,-,-,-,-,-,-,-,592,437,"2,146"
오주인님,2021.03.24,MBC,수목,391,814,152,"1,209",94,441,573,269,305,20,32,66,119,135,0,179,511,12,"1,989"
보이스4,2021.06.18,tvN,금,312,"1,513",85,398,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
목표가생겼다,2021.05.19,MBC,수목,249,467,75,"1,514",112,541,762,358,404,19,44,81,137,213,0,366,"1,078",550,"2,408"
나빌레라,2021.03.22,tvN,월화,242,420,2,13,0,-,-,-,-,-,-,-,-,-,-,-,546,-,"1,376"
알고있지만,2021.06.19,JTBC,토일,210,"2,751",482,656,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
결혼작사이혼작곡시즌2,2021.06.12,TVCHOS,토일,182,602,18,639,6,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,193"
멀리서보면푸른봄,2021.06.14,KBS2,월화,174,999,30,296,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
어쩌다가족,2021.03.21,TVCHOS,토일,100,"1,236",32,786,71,185,262,117,145,5,27,14,31,77,-,-,"1,147",349,23
월간집,2021.06.16,JTBC,수목,27,95,6,125,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
미치지않고서야,2021.06.23,MBC,수목,24,17,0,4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
펜트하우스3,2021.06.04,SBS,금,"15,591","146,257","36,127","5,469",306,"3,015","4,918","2,052","2,866",345,410,578,943,"1,440",0.9,"2,282","8,486","19,243","74,230"
슬기로운의사생활2,2021.06.17,tvN,수목,"8,719","63,238","14,149","4,107",172,"1,945","3,641","1,490","2,151",297,320,523,"1,068",881,0.9,"3,309","6,436","18,594","45,956"
간떨어지는동거,2021.05.26,tvN,수목,"3,731","29,302","21,047","2,817",524,758,"1,280",512,768,89,91,162,427,290,0.9,819,"9,691","27,947","59,829"
어느날우리집현관으로멸망이들어왔다,2021.05.10,tvN,월화,"3,261","51,101","16,120","3,521",637,603,991,424,567,94,89,110,348,216,0.5,824,"6,447","29,376","49,105"
라켓소년단,2021.05.31,SBS,월화,"3,036","18,689","2,968","3,108",317,994,"1,651",746,905,127,112,141,418,501,1,"1,010","3,698","8,578","40,367"
마인,2021.05.08,tvN,토일,"2,863","15,929","16,180","3,369",515,"1,324","2,192",881,"1,311",86,180,235,407,637,2.1,"2,334","2,144","17,731","72,034"
오월의청춘,2021.05.03,KBS2,월화,"2,760","14,271","2,164","1,791",91,983,"1,447",609,838,54,106,127,242,445,0.1,215,"6,185","2,439","8,237"
멀리서보면푸른봄,2021.06.14,KBS2,월화,"2,691","29,595",997,"2,815",186,443,656,259,398,40,54,55,97,164,0.1,110,783,"1,583","4,515"
보이스4,2021.06.18,tvN,금,"2,505","10,909","1,087","2,488",264,696,"1,131",501,629,74,98,99,306,373,0.4,150,833,"7,289","13,945"
알고있지만,2021.06.19,JTBC,토일,"2,353","20,972","5,087","2,526",128,287,532,222,310,65,66,61,116,97,0.3,68,218,"3,586","13,060"
오케이광자매,2021.03.13,KBS2,토일,"2,322","8,390","7,565","2,181",252,"4,698","6,751","2,842","3,909",213,397,414,908,"1,587",0.5,"1,112","1,149","11,647","6,060"
월간집,2021.06.16,JTBC,수목,"2,040","9,137","1,231","1,930",235,383,577,230,348,21,38,42,139,168,0.1,128,279,"3,638","5,089"
결혼작사이혼작곡시즌2,2021.06.12,TVCHOS,토일,"1,887","6,125","2,067","3,054",150,751,"1,006",377,629,19,59,70,88,220,0.3,187,437,"1,267","24,911"
로스쿨,2021.04.14,JTBC,수목,"1,505","12,119","2,915","1,283",136,848,"1,319",558,761,63,137,98,275,402,0.9,"1,286","3,668","3,395","47,680"
미치지않고서야,2021.06.23,MBC,수목,830,"2,805",508,"2,077",128,706,955,441,514,33,50,123,126,264,0.1,53,28,"1,603","1,345"
보쌈-운명을훔치다,2021.05.01,MBN,토일,807,"4,992","1,787","1,785",303,"1,106","1,492",671,821,21,88,85,150,353,0.2,"1,513","1,034","10,402","12,698"
이미테이션,2021.05.07,KBS2,금,794,"8,066",616,749,109,175,251,95,156,7,29,30,40,63,0.1,451,913,"1,363","2,558"
대박부동산,2021.04.14,KBS2,수목,746,"2,983",790,850,97,961,"1,446",623,823,61,101,123,332,411,0.2,-,"1,703","3,333","13,285"
언더커버,2021.04.23,JTBC,금,486,"1,908",400,"1,053",142,599,921,478,443,21,70,45,170,340,0.1,79,"2,524","3,931","15,229"
악마판사,2021.07.03,tvN,토일,386,"2,797",343,944,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
너는나의봄,2021.07.05,tvN,월화,320,"1,086",180,864,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
다크홀,2021.04.30,OCN,금,210,454,92,415,89,171,285,136,149,24,31,19,87,71,0,-,-,226,"5,489"
어쩌다가족,2021.03.21,TVCHOS,토일,23,33,3,176,9,156,234,115,120,8,13,9,28,77,-,-,429,-,-
