프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구시청자수(K),개인시청자수(K),남성시청자수(K),여성시청자수(K),10대시청자수(K),20대시청자수(K),30대시청자수(K),40대시청자수(K),50대시청자수(K),TVVOD시청자수(K),PC실시간(K),PCVOD(K),Mobile실시간(K),MobileVOD(K)
슬기로운의사생활2,2021.06.17,tvN,수목,"12,771","84,119","14,120","3,598",280,"2,232","4,018","1,624","2,394",337,350,581,"1,178",932,2.1,"12,534","22,515","68,194","194,643"
펜트하우스3,2021.06.04,SBS,금,"10,592","101,335","29,811","3,206",171,"3,092","5,140","2,092","3,048",356,440,604,"1,032","1,407",0.7,"2,899","6,157","39,926","109,005"
너는나의봄,2021.07.05,tvN,월화,"5,125","18,033","3,422","3,805",407,503,761,292,470,46,71,89,208,188,1.2,"1,020","2,834","15,944","51,834"
결혼작사이혼작곡시즌2,2021.06.12,TVCHOS,토일,"4,876","17,494","4,896","2,903",156,"1,573","2,227",860,"1,366",57,161,149,243,549,0.5,858,"13,344","11,197","66,309"
악마판사,2021.07.03,tvN,토일,"4,715","27,361","13,867","3,858",525,991,"1,619",685,934,78,135,198,374,449,1.5,"2,878","4,986","45,917","109,146"
라켓소년단,2021.05.31,SBS,월화,"2,843","17,706","3,291","1,926",206,"1,072","1,792",825,967,124,152,182,417,543,1.2,46,"5,208","11,877","62,187"
오케이광자매,2021.03.13,KBS2,토일,"2,516","8,865","3,323","1,615",241,"4,878","7,095","2,990","4,105",246,442,492,967,"1,744",0.2,946,"18,899","23,587","19,084"
보이스4,2021.06.18,tvN,금,"2,506","12,964","2,239","2,350",469,701,"1,145",521,624,70,97,115,338,313,1.4,"2,858","16,725","40,305","101,043"
알고있지만,2021.06.19,JTBC,토일,"2,487","41,401","13,791","3,093",300,226,343,129,213,21,44,65,86,72,0.6,100,"4,538","9,121","67,473"
월간집,2021.06.16,JTBC,수목,"2,136","9,574","3,651","2,266",387,386,577,236,341,20,34,46,132,181,0.4,42,"8,160","8,391","32,734"
간떨어지는동거,2021.05.26,tvN,수목,"2,094","18,645","10,401","1,950",315,679,"1,135",458,677,123,91,151,340,273,0.5,"4,802","9,227","30,541","83,569"
멀리서보면푸른봄,2021.06.14,KBS2,월화,"1,706","21,537","1,175","2,143",161,399,532,222,310,30,32,47,77,143,0.1,809,"1,760","4,122","10,568"
미치지않고서야,2021.06.23,MBC,수목,"1,179","3,764",645,"1,619",208,711,997,464,532,25,57,121,169,241,0.2,-,535,"8,184","13,089"
이미테이션,2021.05.07,KBS2,금,809,"8,151",512,"1,069",97,189,267,108,159,12,29,33,44,58,0.1,873,"2,856","5,364","4,747"
경찰수업,2021.08.09,KBS2,월화,294,"1,144",123,828,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
어느날우리집현관으로멸망이들어왔다,2021.05.10,tvN,월화,189,"3,072",416,1,10,-,-,-,-,-,-,-,-,-,-,-,473,692,"39,576"
보쌈-운명을훔치다,2021.05.01,MBN,토일,122,539,394,320,77,"1,245","1,688",735,954,26,118,84,174,407,0.1,842,"2,299","3,939","5,490"
더로드1의비극,2021.08.04,tvN,수목,110,304,43,628,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
괴기맨숀:디오리지널,2021.07.30,SKY,금,90,261,4,589,6,13,19,6,13,-,1,3,9,1,-,-,-,-,-
이벤트를확인하세요,2021.08.14,MBC,토일,37,188,11,83,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
슬기로운의사생활2,2021.06.17,tvN,수목,"10,655","73,537","15,996","2,911",226,"2,210","4,117","1,682","2,435",373,435,507,"1,166","1,037",2.5,"7,537","22,219","44,076","118,504"
펜트하우스3,2021.06.04,SBS,금,"9,911","90,661","30,231","2,737",181,"3,348","5,543","2,299","3,245",425,522,609,"1,107","1,481",1,"1,425","4,957","14,509","60,834"
홍천기,2021.08.30,SBS,월화,"4,469","20,335","1,381","2,898",124,"1,424","2,187",959,"1,229",111,141,204,472,731,0.4,337,"1,092","1,207",223
경찰수업,2021.08.09,KBS2,월화,"3,219","12,193","1,915","4,313",265,"1,315","2,057",905,"1,152",130,171,150,426,593,0.5,"3,326","8,636","4,550","11,564"
갯마을차차차,2021.08.28,tvN,토일,"3,154","20,777","1,864","2,255",136,"1,269","2,204",979,"1,225",160,191,270,507,664,0.8,639,692,"3,684","2,789"
너는나의봄,2021.07.05,tvN,월화,"3,111","16,145","3,795","3,142",355,392,583,230,353,25,37,65,180,150,1.5,"3,942","9,130","11,747","25,324"
악마판사,2021.07.03,tvN,토일,"2,418","15,421","9,537","2,281",362,"1,185","1,997",869,"1,128",103,155,241,478,546,0.7,"2,386","7,299","21,786","62,382"
오케이광자매,2021.03.13,KBS2,토일,"1,921","10,188","6,366","1,524",263,"5,036","7,312","3,139","4,174",301,460,512,967,"1,704",0.6,48,"6,494","12,794","9,472"
결혼작사이혼작곡시즌2,2021.06.12,TVCHOS,토일,"1,335","6,521","2,487","1,468",63,"1,872","2,710","1,037","1,673",97,184,199,322,663,0.4,993,"12,996","3,788","19,215"
알고있지만,2021.06.19,JTBC,토일,"1,239","24,626","5,916","2,292",170,256,387,148,240,36,53,68,103,64,0.3,-,291,"2,157","22,064"
더로드1의비극,2021.08.04,tvN,수목,"1,195","2,190","1,005","2,876",375,435,657,282,375,28,48,48,179,210,0.3,931,702,"3,074","6,654"
라켓소년단,2021.05.31,SBS,월화,"1,041","5,949",737,"1,136",49,868,"1,546",728,817,156,109,188,425,353,0.2,-,"1,846",536,"6,396"
미치지않고서야,2021.06.23,MBC,수목,728,"2,503",742,"1,387",185,762,"1,101",522,579,41,67,126,189,275,0.4,665,"5,700","1,668","3,738"
인간실격,2021.09.04,JTBC,토일,676,"5,188",275,"1,003",12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
이벤트를확인하세요,2021.08.14,MBC,토일,397,"1,686",131,691,145,256,368,158,209,20,21,47,86,88,0,-,-,-,25
월간집,2021.06.16,JTBC,수목,387,"2,422",826,599,84,457,723,298,425,43,44,40,146,223,0.1,-,"1,268",349,"9,437"
하이클래스,2021.09.06,tvN,월화,190,408,63,542,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
원더우먼,2021.09.17,SBS,금,159,389,47,384,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
검은태양,2021.09.17,MBC,금,147,340,15,224,7,-,-,-,-,-,-,-,-,-,-,-,14,-,75
보이스4,2021.06.18,tvN,금,139,237,6,266,7,-,-,-,-,-,-,-,-,-,-,-,57,621,"6,737"
괴기맨숀:디오리지널,2021.07.30,SKY,금,111,174,7,46,5,17,20,5,15,-,2,12,4,2,-,-,-,-,-
유미의세포들,2021.09.17,tvN,금,33,152,0,183,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
달리와감자탕,2021.09.22,KBS2,수목,28,42,1,140,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
신사와아가씨,2021.09.25,KBS2,토일,11,10,0,79,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
홈타운,2021.09.22,tvN,수목,10,36,2,62,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
갯마을차차차,2021.08.28,tvN,토일,"17,801","127,581","17,935","3,506",548,"1,625","2,830","1,211","1,619",197,240,337,692,794,4.2,"4,665","16,691","28,422","83,444"
슬기로운의사생활2,2021.06.17,tvN,수목,"9,525","62,833","11,083","2,353",116,"2,482","4,371","1,818","2,553",295,457,622,"1,172","1,103",1.9,"8,128","30,358","23,006","70,946"
펜트하우스3,2021.06.04,SBS,금,"7,453","54,141","11,278","2,242",80,"3,298","5,404","2,252","3,152",343,473,630,947,"1,593",0.5,195,"2,742","8,610","23,285"
검은태양,2021.09.17,MBC,금,"6,760","30,311","5,780","3,469",154,"1,464","2,238","1,051","1,186",111,146,245,559,586,1.1,"3,130","10,189","5,664","21,009"
홍천기,2021.08.30,SBS,월화,"6,556","30,419","7,632","3,255",215,"1,600","2,419","1,072","1,347",126,145,193,621,676,0.9,814,"11,925","8,077","30,234"
원더우먼,2021.09.17,SBS,금,"4,435","18,750","8,328","3,153",178,"1,867","2,920","1,319","1,601",142,229,198,568,918,0.7,751,"2,421","9,158","27,888"
인간실격,2021.09.04,JTBC,토일,"4,198","17,501","1,265","3,463",290,324,538,235,303,20,40,61,116,153,0.2,334,883,"2,996","6,998"
유미의세포들,2021.09.17,tvN,금,"3,987","22,604","1,641","2,247",80,485,851,345,506,53,88,153,247,162,-,639,"2,416","2,529","10,592"
하이클래스,2021.09.06,tvN,월화,"3,118","6,975","6,616","2,854",427,562,875,337,537,33,60,80,205,272,0.2,983,"4,029","6,438","17,638"
오케이광자매,2021.03.13,KBS2,토일,"1,919","7,548","6,297","1,147",163,"5,222","7,623","3,244","4,378",300,438,529,"1,033","1,778",0.4,298,942,"10,404","11,513"
경찰수업,2021.08.09,KBS2,월화,"1,602","5,704","1,027","1,761",175,"1,140","1,668",720,949,72,135,120,279,487,0.3,"1,901","5,214","8,209","21,160"
홈타운,2021.09.22,tvN,수목,"1,061","2,544",354,"1,717",183,454,771,331,440,51,58,75,224,221,0.2,696,605,"1,646","1,547"
달리와감자탕,2021.09.22,KBS2,수목,"1,042","3,789",841,"2,269",126,773,"1,117",460,657,45,53,87,217,327,0.2,936,873,"3,784","3,046"
신사와아가씨,2021.09.25,KBS2,토일,"1,017","10,299",907,"2,293",84,"4,152","6,022","2,587","3,435",169,345,439,733,"1,432",0.1,742,728,"2,403","1,024"
연모,2021.10.11,KBS2,월화,410,"2,007",50,442,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
더로드1의비극,2021.08.04,tvN,수목,358,562,458,"1,102",170,354,520,222,298,20,30,24,116,220,0.2,222,505,"2,405","4,605"
지리산,2021.10.23,tvN,토일,213,630,0,400,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
너를닮은사람,2021.10.13,JTBC,수목,121,469,206,461,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
하트가빛나는순간,2021.09.28,EBS1,월화,51,483,36,189,1,41,58,31,27,-,-,3,33,6,-,-,-,-,158
이벤트를확인하세요,2021.08.14,MBC,토일,48,266,20,82,31,189,280,130,150,3,15,52,63,40,0,-,"1,055",-,50
KBS드라마스페셜2021,2021.10.22,KBS2,금,14,77,4,46,2,-,-,-,-,-,-,-,-,-,-,-,-,20,"2,037"
갯마을차차차,2021.08.28,tvN,토일,"13,504","92,146","20,126","1,428",358,"1,843","3,266","1,383","1,882",266,291,379,758,942,3.4,"6,971","26,328","25,957","111,902"
지리산,2021.10.23,tvN,토일,"9,642","44,462","2,322","3,572",231,"1,613","2,767","1,187","1,581",169,218,288,733,772,0.6,254,"1,524","4,924","6,364"
유미의세포들,2021.09.17,tvN,금,"6,908","63,702","9,647","1,604",168,403,728,271,457,56,90,117,180,176,-,450,"3,464","13,638","45,080"
연모,2021.10.11,KBS2,월화,"6,572","24,518","2,886","2,803",205,"1,267","1,748",706,"1,042",57,85,140,230,448,1.9,"1,460","10,084","5,496","42,076"
검은태양,2021.09.17,MBC,금,"6,289","23,875","6,332","2,883",226,447,643,324,320,39,15,62,163,150,2.7,"4,899","14,015","14,067","41,128"
원더우먼,2021.09.17,SBS,금,"5,562","30,944","26,799","3,430",331,"2,355","3,746","1,652","2,094",219,286,304,746,"1,117",2.3,"6,937","21,242","25,900","70,991"
홍천기,2021.08.30,SBS,월화,"4,492","28,027","10,502","3,580",302,"1,560","2,403","1,042","1,360",118,173,184,565,730,1.6,403,"6,385","9,260","26,080"
신사와아가씨,2021.09.25,KBS2,토일,"3,045","15,134","7,462","3,171",316,"4,458","6,352","2,690","3,663",249,363,413,764,"1,471",1.1,"2,240","8,784","15,704","55,912"
너를닮은사람,2021.10.13,JTBC,수목,"2,542","7,229","3,643","3,068",224,347,587,224,363,35,51,46,148,173,0.9,"1,648","2,884","2,872","13,514"
하이클래스,2021.09.06,tvN,월화,"1,748","4,583","6,820","1,232",366,728,"1,060",406,654,44,63,91,215,377,0.2,"1,878","4,873","7,840","21,448"
인간실격,2021.09.04,JTBC,토일,"1,622","9,004","1,335","1,427",271,182,296,120,176,12,32,21,63,81,0.1,527,"4,021","1,029","5,698"
달리와감자탕,2021.09.22,KBS2,수목,"1,495","8,855","2,589","1,744",221,903,"1,224",501,723,43,65,84,211,374,0.5,-,"2,560","6,159","15,847"
지금헤어지는중입니다,2021.11.12,SBS,금,924,"4,850",643,822,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
홈타운,2021.09.22,tvN,수목,861,"1,543",484,407,320,274,433,194,239,21,30,53,116,119,0.1,431,274,"1,747","4,353"
옷소매붉은끝동,2021.11.12,MBC,금,838,"3,790",90,474,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
구경이,2021.10.30,JTBC,토일,685,"2,214",246,"2,364",61,371,596,267,329,25,47,82,110,195,0.4,-,-,404,755
뫼비우스:검은태양,2021.10.29,MBC,금,447,"1,317",279,809,36,618,911,460,452,35,54,121,202,281,0.1,29,57,375,479
경찰수업,2021.08.09,KBS2,월화,433,"1,501",387,858,56,"1,139","1,565",648,917,55,119,111,207,426,0.1,261,826,"1,046","6,359"
해피니스,2021.11.05,tvN,금,380,"1,581",43,611,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
멜랑꼴리아,2021.11.10,tvN,수목,336,"1,599",33,679,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
너의밤이되어줄게,2021.11.07,SBS,토일,290,"1,029",55,454,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KBS드라마스페셜2021,2021.10.22,KBS2,금,279,837,87,920,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-
키마이라,2021.10.30,OCN,토일,244,497,32,702,81,222,322,169,153,9,26,30,79,108,0.1,-,-,-,-
어사와조이,2021.11.08,tvN,월화,171,894,133,313,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
크라임퍼즐,2021.11.01,SKY,월화,123,698,654,"1,063",21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
학교2021,2021.11.24,KBS2,수목,54,192,20,249,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
하트가빛나는순간,2021.09.28,EBS1,월화,38,"6,662","1,776",38,0,-,-,-,-,-,-,-,-,-,-,17,294,136,"1,110"
IDOL,2021.11.08,JTBC,월화,35,778,37,252,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
옷소매붉은끝동,2021.11.12,MBC,금,"11,536","54,556","6,790","2,876",295,"1,206","1,830",834,997,93,122,135,350,487,1.2,441,"5,718","16,678","28,073"
지금헤어지는중입니다,2021.11.12,SBS,금,"10,216","39,892","10,665","4,424",261,"1,158","1,734",692,"1,041",104,87,199,372,413,0.8,"1,044","5,108","11,238","24,406"
지리산,2021.10.23,tvN,토일,"9,264","50,168","3,539","3,194",434,"1,314","2,292",979,"1,313",144,190,227,578,660,0.6,"3,050","8,753","9,381","17,728"
연모,2021.10.11,KBS2,월화,"7,771","41,544","11,279","3,038",273,"1,516","2,140",865,"1,275",67,131,160,298,640,1.9,"2,357","15,109","11,721","54,885"
해피니스,2021.11.05,tvN,금,"6,052","23,195","4,502","2,420",419,598,"1,090",470,621,103,103,91,295,307,0.9,"1,331","5,546","6,254","20,280"
신사와아가씨,2021.09.25,KBS2,토일,"3,962","25,895","12,913","2,883",267,"5,045","7,302","3,081","4,221",327,433,458,915,"1,636",1.1,"1,201","6,162","14,454","44,032"
멜랑꼴리아,2021.11.10,tvN,수목,"3,300","8,475","2,882","2,492",268,374,620,293,327,47,31,65,161,167,0.1,"1,120",557,"3,977","27,589"
너를닮은사람,2021.10.13,JTBC,수목,"2,870","11,400","6,269","2,015",289,317,475,177,298,16,40,38,88,153,1.4,454,"1,433","4,530","23,467"
구경이,2021.10.30,JTBC,토일,"2,323","7,916",495,"2,360",197,297,482,212,269,30,41,41,138,110,0.5,"2,264","11,052","4,518","22,155"
어사와조이,2021.11.08,tvN,월화,"2,260","8,337","2,691","2,743",410,637,965,438,526,51,68,79,213,307,0.8,"3,710","29,145","6,473","24,921"
너의밤이되어줄게,2021.11.07,SBS,토일,"1,636","9,213",287,"1,748",101,409,611,307,304,30,56,70,99,150,0.1,534,291,456,"1,024"
태종이방원,2021.12.11,KBS1,토일,"1,211","3,471",8,610,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
원더우먼,2021.09.17,SBS,금,"1,134","6,961","5,254",815,73,"2,922","4,699","2,083","2,616",291,325,353,"1,033","1,415",0.4,"2,710","17,016","6,014","18,563"
학교2021,2021.11.24,KBS2,수목,941,"4,678",308,"2,326",82,502,718,314,404,38,29,45,185,175,0,-,10,99,157
설강화:SNOWDROP,2021.12.18,JTBC,토일,871,"3,300",177,241,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
달리와감자탕,2021.09.22,KBS2,수목,718,"3,771","1,401","1,047",110,879,"1,167",490,677,40,59,67,187,350,0.3,-,"6,257","1,464","11,666"
키마이라,2021.10.30,OCN,토일,673,"1,146",129,904,266,244,348,174,174,15,29,35,65,131,0.3,-,-,-,-
IDOL,2021.11.08,JTBC,월화,664,"4,017",562,"1,585",340,101,165,69,96,19,18,12,30,42,0.1,503,"3,403",601,"2,417"
그해우리는,2021.12.06,SBS,월화,589,"2,298",459,814,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
크라임퍼즐,2021.11.01,SKY,월화,571,"1,331",488,775,26,66,101,39,62,7,5,16,30,24,-,-,-,-,-
쇼윈도:여왕의집,2021.11.29,채널A,월화,543,"1,326",177,"1,816",65,240,339,127,212,8,21,37,45,114,0,259,252,114,53
KBS드라마스페셜2021,2021.10.22,KBS2,금,348,"2,845",116,749,109,221,289,113,177,11,17,25,62,70,-,9,94,238,91
하이클래스,2021.09.06,tvN,월화,336,652,575,501,54,860,"1,196",455,741,31,67,111,244,428,0,-,22,882,"3,476"
불가살,2021.12.18,tvN,토일,320,437,35,230,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
공작도시,2021.12.08,JTBC,수목,193,481,97,446,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
배드앤크레이지,2021.12.17,tvN,금,120,277,4,452,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
스폰서,방송예정,iHQ,월화,94,216,1,719,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
엉클,2021.12.11,TVCHOS,토일,90,121,0,263,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
하트가빛나는순간,2021.09.28,EBS1,월화,30,"6,203","1,760",10,0,12,18,7,11,1,1,3,5,2,-,-,-,261,767
꽃피면달생각하고,2021.12.20,KBS2,월화,24,66,6,80,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
한사람만,2021.12.20,JTBC,월화,23,47,13,84,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
옷소매붉은끝동,2021.11.12,MBC,금,"21,753","157,689","30,987","6,313",466,"1,887","2,810","1,250","1,561",141,205,215,507,772,-,"3,592","12,731","30,067","55,731"
설강화:SNOWDROP,2021.12.18,JTBC,토일,"18,159","179,483","6,319","5,766",210,431,672,310,362,11,74,40,133,237,-,"1,724","4,132","2,733","5,907"
그해우리는,2021.12.06,SBS,월화,"7,989","49,411","12,759","3,595",260,702,"1,116",484,632,78,79,151,317,263,-,"1,494","13,993","4,427","51,124"
태종이방원,2021.12.11,KBS1,토일,"6,735","22,364",834,"2,653",195,"1,576","2,134","1,129","1,005",113,101,149,272,452,-,487,"3,347","1,279","7,899"
불가살,2021.12.18,tvN,토일,"6,075","18,046","3,019","2,160",229,932,"1,539",681,857,94,126,212,357,440,-,"2,360","2,714","4,680","15,786"
해피니스,2021.11.05,tvN,금,"4,547","25,409","3,611",747,203,630,"1,155",480,675,108,93,118,296,315,-,"1,502","1,118","5,627","23,662"
지금헤어지는중입니다,2021.11.12,SBS,금,"4,450","19,867","7,361","2,958",268,923,"1,393",573,821,62,65,181,276,316,-,324,"3,140","7,228","15,783"
신사와아가씨,2021.09.25,KBS2,토일,"4,021","34,251","16,439","1,612",261,"5,139","7,303","3,117","4,186",276,465,468,899,"1,750",-,"3,132","6,310","20,397","35,713"
연모,2021.10.11,KBS2,월화,"3,525","21,021","4,578","1,774",111,"1,722","2,428",998,"1,430",102,155,178,308,701,-,"1,679","5,813","4,059","24,858"
엉클,2021.12.11,TVCHOS,토일,"2,812","6,898",289,"1,464",149,613,957,415,542,23,81,60,90,268,-,609,"2,797","1,660","4,085"
지리산,2021.10.23,tvN,토일,"2,662","8,524","1,583",957,171,"1,234","2,048",861,"1,186",105,189,181,478,650,-,"4,174","18,903","5,586","11,966"
쇼윈도:여왕의집,2021.11.29,채널A,월화,"2,485","7,366","3,941","2,361",270,695,957,370,587,24,53,77,110,285,-,"5,132","8,782","3,985","10,955"
멜랑꼴리아,2021.11.10,tvN,수목,"2,069","9,384","8,407","2,161",419,313,498,216,282,25,20,58,149,113,-,"1,186","2,318","3,055","37,750"
공작도시,2021.12.08,JTBC,수목,"2,010","5,310","4,515","2,431",273,451,697,322,375,27,59,34,117,252,-,"2,583","5,754","7,283","15,846"
꽃피면달생각하고,2021.12.20,KBS2,월화,"1,860","6,591",836,"2,876",151,"1,367","1,868",821,"1,047",53,126,121,289,509,-,662,"2,312","2,710","7,654"
배드앤크레이지,2021.12.17,tvN,금,"1,758","6,502","1,890","2,217",258,548,914,395,520,77,61,93,248,284,-,"1,017","1,820","4,547","10,152"
어사와조이,2021.11.08,tvN,월화,"1,082","5,096","3,067","2,085",368,540,770,346,424,23,56,75,163,241,-,"5,446","26,773","8,453","23,202"
너의밤이되어줄게,2021.11.07,SBS,토일,901,"3,662",152,900,55,371,571,276,295,27,57,69,94,156,-,-,40,55,"1,929"
학교2021,2021.11.24,KBS2,수목,829,"5,860",556,"2,070",243,339,465,216,249,21,24,41,78,103,-,151,"3,762",706,"1,893"
너를닮은사람,2021.10.13,JTBC,수목,687,"2,726","1,819",558,67,295,435,159,276,7,33,56,99,122,-,403,565,"1,573","8,573"
한사람만,2021.12.20,JTBC,월화,613,"2,362",370,"1,999",179,235,349,162,187,15,32,24,80,109,-,775,748,331,"1,319"
구경이,2021.10.30,JTBC,토일,561,"2,610",143,783,103,260,411,157,253,25,33,32,137,73,-,625,"7,014",296,"9,957"
키마이라,2021.10.30,OCN,토일,413,689,71,354,186,295,430,188,241,15,39,16,74,191,-,-,-,-,-
KBS드라마스페셜2021,2021.10.22,KBS2,금,368,"1,763",137,"1,055",120,215,303,134,168,13,17,27,46,90,-,-,32,171,-
IDOL,2021.11.08,JTBC,월화,303,"2,141",329,751,171,142,281,131,150,34,32,29,36,70,-,800,"2,589",273,"3,096"
고스트닥터,2022.01.03,tvN,월화,284,"1,271",249,908,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-
트레이서,2022.01.07,MBC,금,202,558,10,445,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
악의마음을읽는자들,2022.01.14,SBS,금,179,705,55,492,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
크라임퍼즐,2021.11.01,SKY,월화,46,78,5,57,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
하트가빛나는순간,2021.09.28,EBS1,월화,27,"3,210",920,32,0,19,40,23,17,5,1,6,9,6,-,-,-,38,175
마녀식당으로오세요,2022.01.05,tvN,수목,12,11,0,2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
