프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구시청률(%),개인시청률(%),남성시청률(%),여성시청률(%),10대시청률(%),20대시청률(%),30대시청률(%),40대시청률(%),50대시청률(%),TVVOD시청자수(K),PC실시간(K),PCVOD(K),Mobile실시간(K),MobileVOD(K)
복수해라,2020.11.21,TVCHOS,토일,515,959,58,"1,024",65,2,1.1,1,1.3,0.2,0.6,0.5,0.7,1.7,0.2,140,"1,478","1,059","11,463"
KBS드라마스페셜2020,2020.11.07,KBS2,수목,495,"1,370",118,"1,776",90,1.2,0.7,0.6,0.7,0.4,0.4,0.5,0.7,1,-,-,-,-,-
제발그남자만나지마요,2020.11.10,MBCeve,월화,376,"1,783",209,810,156,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.5,0.4,0.1,810,"2,329",650,"2,791"
선배그립스틱바르지마요,2021.01.18,JTBC,월화,46,762,152,216,11,0,0,0,0,0,0,0,0,0,-,-,-,-,-
펜트하우스,2020.10.26,SBS,월화,"36,973","181,639","21,507","4,988",124,21.7,14.2,11.6,16.7,8.4,10.3,10.8,17.4,24.3,0.3,-,-,-,-
경이로운소문,2020.11.28,OCN,토일,"27,593","130,908","14,767","4,695",495,10.4,8.1,7.4,8.7,8.9,6,7.1,14.7,11.6,3.2,"1,239","8,089","7,929","47,238"
철인왕후,2020.12.12,tvN,토일,"26,176","144,293","46,906","4,408",550,10.9,8,7,8.9,6.1,5,5.9,14.2,12.2,2.4,"6,846","12,393","51,047","132,385"
여신강림,2020.12.09,tvN,수목,"15,639","185,795","33,231","5,741",619,3.8,2.9,2.3,3.6,4.5,1.7,2.9,5.3,3,1.2,393,"1,802","30,517","64,532"
런온,2020.12.16,JTBC,수목,"13,724","75,571","5,007","3,294",329,2.4,1.7,1.3,2,1.1,0.9,1.3,2.5,2.5,1.3,"1,224","8,791","6,357","14,550"
펜트하우스2,2021.02.19,SBS,금,"8,219","25,597",492,333,13,0,0,0,0,0,0,0,0,0,-,826,"3,518","9,133","51,796"
오!삼광빌라!,2020.09.19,KBS2,토일,"4,874","13,259","4,266","2,306",336,25.5,15.2,12.8,17.5,6.7,8.2,7.3,11.2,22.1,0.5,"1,687","3,742","12,639","6,730"
선배그립스틱바르지마요,2021.01.18,JTBC,월화,"3,028","16,125","1,750","3,096",170,1.9,1.2,1,1.5,0.9,1,1.3,1.3,1.8,0.2,223,"3,512","1,218","1,352"
허쉬,2020.12.11,JTBC,금,"2,032","4,177",222,"1,989",253,1.8,1.2,1.2,1.2,0.5,0.6,0.6,1.9,1.5,0.4,719,"1,090","1,948","4,493"
암행어사조선비밀수사단,2020.12.21,KBS2,월화,"1,775","8,867","1,065","3,424",238,8.1,4.8,4.4,5.1,2.1,2.1,2.1,4.9,7.4,0.6,797,"1,693","5,126","16,506"
결혼작사이혼작곡,2021.01.23,TVCHOS,토일,"1,475","11,637","1,865","3,252",75,5.1,2.9,2.3,3.6,0.7,1.4,1.4,1.9,3.7,0.3,304,168,"1,271","2,415"
날아라개천용,2020.10.30,SBS,금,"1,317","7,574","1,531","3,456",210,4.6,2.9,2.9,3,1.6,1.6,1.7,3.9,4.8,0.3,"1,968","2,514","6,237","9,602"
낮과밤,2020.11.30,tvN,월화,"1,286","4,982","3,218","2,450",266,4.4,2.7,2.4,3,1.7,1.4,1.6,4.7,4.7,0.4,"1,061","1,106","7,431","23,675"
바람피면죽는다,2020.12.02,KBS2,수목,970,"1,223",444,"3,065",190,2.7,1.4,1.3,1.6,0.9,0.7,0.9,1.4,2.4,0.1,-,49,904,"3,889"
라이브온,2020.11.17,JTBC,월화,832,"7,533","1,627","1,067",35,0.8,0.6,0.5,0.6,0.4,0.3,1.1,0.6,0.4,0.1,-,-,499,"1,055"
빈센조,2021.02.20,tvN,토일,474,"2,167",489,563,7,0,0,0,0,0,0,0,0,0,-,-,-,-,-
루카더비기닝,2021.02.01,tvN,월화,425,"1,494",380,"1,578",41,0,0,0,0,0,0,0,0,0,-,-,-,-,-
시지프스,2021.02.17,JTBC,수목,180,"1,116",84,211,3,0,0,0,0,0,0,0,0,0,-,-,-,-,-
복수해라,2020.11.21,TVCHOS,토일,167,229,55,524,63,2,1.1,0.9,1.3,0.4,0.4,0.4,0.6,1.7,0.1,-,-,"1,743","3,104"
제발그남자만나지마요,2020.11.10,MBCeve,월화,167,723,94,662,61,0.4,0.3,0.3,0.4,0.4,0.3,0.1,0.6,0.5,0,518,"3,282",111,318
달이뜨는강,2021.02.15,KBS2,월화,125,515,4,174,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
안녕나야,2021.02.17,KBS2,수목,104,233,2,209,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
괴물,2021.02.19,JTBC,금,78,387,96,316,4,0,0,0,0,0,0,0,0,0,-,-,-,-,-
타임즈,2021.02.20,OCN,토일,45,83,0,203,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
구미호레시피,2021.02.12,KBS1,금,22,93,12,48,3,0,0,0,0,0,0,0,0,0,-,-,-,-,-
펜트하우스2,2021.02.19,SBS,금,"21,202","200,554","35,742","8,095",356,17.9,12.4,10.2,14.5,10.8,8.8,11.4,14.6,19.6,1.1,"2,039","1,684","23,236","37,999"
빈센조,2021.02.20,tvN,토일,"5,652","38,873","7,377","4,250",286,7.9,5.5,4.8,6.3,4,3.2,3.9,10.5,8.6,1.9,191,671,"9,578","19,799"
철인왕후,2020.12.12,tvN,토일,"4,381","46,302","27,001","2,213",280,13,9.6,8.5,10.6,7,5.9,7.2,16,15.1,0.7,"1,779","17,432","26,620","166,272"
시지프스,2021.02.17,JTBC,수목,"3,724","16,142","1,305","3,059",148,4.9,3.3,2.9,3.7,1.6,2,2.2,5.5,5.7,0.8,70,274,"3,435","4,662"
여신강림,2020.12.09,tvN,수목,"3,081","58,752","9,213","1,783",168,3.8,2.8,2.1,3.5,4,1.4,3,5.5,2.7,0.4,608,"11,040","6,340","33,300"
괴물,2021.02.19,JTBC,금,"2,567","9,658",498,"2,942",161,3.3,2.3,1.9,2.6,1.2,1.1,1.8,3.5,4.1,0.3,682,228,"3,439","6,588"
루카더비기닝,2021.02.01,tvN,월화,"2,474","10,436","4,034","3,257",481,5.3,3.6,3.3,3.9,2.1,1.9,2.2,6.7,6.5,0.9,"3,399","7,165","8,377","20,815"
오!삼광빌라!,2020.09.19,KBS2,토일,"2,270","9,643","4,017","1,954",279,25.3,15.2,12.8,17.7,7.2,7.2,7.5,11.9,22,0.4,999,"5,577","8,666","12,090"
선배그립스틱바르지마요,2021.01.18,JTBC,월화,"2,127","17,603","4,713","1,664",306,1.7,1.1,0.8,1.3,0.7,0.6,1.1,1,1.5,0.4,143,"5,599","1,059","6,019"
런온,2020.12.16,JTBC,수목,"1,907","10,853","1,229","1,305",85,2.3,1.6,1.4,1.8,1,0.8,1.3,2.7,2.3,0.3,54,"2,312","1,391","11,782"
달이뜨는강,2021.02.15,KBS2,월화,"1,816","11,710",919,"3,617",131,7.3,4.2,3.8,4.6,1.7,1.3,2.6,5,6.6,0.4,"1,359","3,727","1,351","3,868"
결혼작사이혼작곡,2021.01.23,TVCHOS,토일,"1,707","7,322","3,269","2,607",175,5.3,3,2.2,3.7,0.9,1.2,1.3,1.8,4,0.6,166,"2,634","4,356","7,424"
안녕나야,2021.02.17,KBS2,수목,930,"2,376",371,"2,972",128,3.2,1.9,1.8,2.1,1.6,0.6,1.2,2.2,3,0.4,547,145,466,"3,014"
암행어사조선비밀수사단,2020.12.21,KBS2,월화,848,"4,229",671,"1,701",105,10.6,6.2,5.8,6.7,2.1,2.6,3.2,5.4,10.1,0.3,456,116,"1,874","5,470"
타임즈,2021.02.20,OCN,토일,746,"4,329",609,"1,575",227,1.9,1.3,1.3,1.3,0.8,0.7,0.8,2,2.6,0.2,-,-,771,"1,639"
마우스,2021.03.03,tvN,수목,434,"4,511",345,878,43,0,0,0,0,0,0,0,0,0,-,-,-,-,-
디어엠(Dear.M),2021.02.26,KBS2,금,427,"4,665",843,480,15,0,0,0,0,0,0,0,0,0,-,-,-,-,-
허쉬,2020.12.11,JTBC,금,349,"1,257",183,624,63,1.8,1.1,1.1,1,0.4,0.5,0.6,2,1.5,0.1,40,806,269,"2,453"
구미호레시피,2021.02.12,KBS1,금,113,168,29,508,40,2,1,1,1.1,0.7,0.6,0.7,0.8,1,-,-,-,4,17
러브씬넘버#,2021.02.01,MBC,월화,112,166,29,900,51,2,1.1,1.1,1.1,0.6,0.6,1,1.3,1.4,0,51,-,763,"2,008"
드라마스테이지2021,2021.03.03,tvN,수목,89,"1,002",25,346,5,0,0,0,0,0,0,0,0,0,-,-,-,-,27
오케이광자매,2021.03.13,KBS2,토일,52,34,7,247,3,0,0,0,0,0,0,0,0,0,-,-,-,-,-
경로를이탈하였습니다,2021.03.15,JTBC,월화,12,206,34,104,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
펜트하우스2,2021.02.19,SBS,금,"37,972","393,153","95,113","8,086",421,21.5,14.3,11.7,16.9,10.5,9.6,13.3,16.8,22.8,1.1,"4,354","16,479","51,298","158,737"
빈센조,2021.02.20,tvN,토일,"15,069","146,658","25,567","5,428",674,9.3,6.4,5.8,6.9,4.7,3.8,5.2,11.1,9.8,1.9,"2,432","19,546","31,670","112,049"
조선구마사,2021.03.22,SBS,월화,"13,460","272,929","6,555","6,817",177,7.1,4.5,4.2,4.7,2,2.4,4.2,6.9,7.2,0.1,"1,067",793,"1,902","1,427"
마우스,2021.03.03,tvN,수목,"6,625","40,821","8,650","4,300",490,5.1,3.4,2.9,3.8,1.9,2,3.3,5.9,5.3,1.4,"2,746","4,469","18,668","52,450"
달이뜨는강,2021.02.15,KBS2,월화,"5,091","73,343","4,413","5,605",271,7.6,4.4,3.9,4.9,1.5,1.6,2.6,4.5,7.2,0.4,"2,356","1,935","7,738","12,254"
괴물,2021.02.19,JTBC,금,"4,809","29,228","1,873","3,875",307,3.8,2.5,2.1,2.9,1,1.2,2.3,4,4.5,0.3,304,"1,643","10,246","23,257"
시지프스,2021.02.17,JTBC,수목,"4,126","23,092","3,255","3,053",336,4,2.6,2.3,2.8,1,1.7,2,3.7,5,0.8,465,"6,628","4,617","20,113"
나빌레라,2021.03.22,tvN,월화,"2,726","15,105","1,662","3,260",254,2.6,1.6,1.3,1.9,0.8,1,1.3,2.1,2.5,0.5,966,"1,389","2,395","1,180"
오케이광자매,2021.03.13,KBS2,토일,"1,538","4,680",991,"3,272",207,21.2,12.1,10.2,14.1,4.3,4.7,5.4,9.2,16.6,0.4,10,977,"6,344","1,592"
안녕나야,2021.02.17,KBS2,수목,"1,112","3,522",642,"2,079",205,3.3,2,1.7,2.2,1.3,1,1.1,2.2,3.3,0.4,"1,484","2,555","2,134","10,049"
오!삼광빌라!,2020.09.19,KBS2,토일,874,"5,371","1,071",970,69,26.3,15.3,12.5,18,5.7,7.4,7.6,11.4,22,0.5,-,"2,473","2,961","4,584"
루카더비기닝,2021.02.01,tvN,월화,836,"4,216","2,157","1,664",211,5.4,3.6,3.5,3.6,2,2,2.4,5.3,6.9,0.9,467,"3,532","4,909","14,600"
선배그립스틱바르지마요,2021.01.18,JTBC,월화,806,"8,003","3,433","1,005",145,1.5,1,0.9,1.1,0.4,0.6,0.6,1.2,1.4,0.2,34,"1,233",152,"4,004"
타임즈,2021.02.20,OCN,토일,729,"1,921",814,"1,299",390,1.7,1,1.1,1,0.4,0.3,0.8,1.6,2.1,0.2,63,"1,098","1,953","15,411"
오주인님,2021.03.24,MBC,수목,726,"5,158",347,"3,010",176,1.4,0.9,0.9,0.8,0.2,0.6,1,1,1.7,0.1,25,369,602,"1,033"
결혼작사이혼작곡,2021.01.23,TVCHOS,토일,718,"2,938","1,598","1,191",93,5.2,2.8,2.2,3.4,0.7,1,1.1,1.8,3.5,0.3,339,"1,114","3,204","6,078"
드라마스테이지2021,2021.03.03,tvN,수목,673,"5,049","2,084","1,212",302,1,0.7,0.6,0.7,0.4,0.4,0.8,1.1,1,0,444,"1,011",895,"6,354"
경로를이탈하였습니다,2021.03.15,JTBC,월화,221,"1,103",137,685,68,1.8,1.2,1.1,1.2,0.4,0.7,1,1.5,2,0,-,-,-,-
아이를찾습니다,2021.03.22,JTBC,월화,195,731,72,549,70,2.1,1.3,1,1.6,0.2,0.6,1.2,1.7,2.4,0,-,-,-,-
모범택시,2021.04.09,SBS,금,153,848,109,625,24,0,0,0,0,0,0,0,0,0,-,-,-,-,-
대박부동산,2021.04.14,KBS2,수목,123,637,46,395,3,0,0,0,0,0,0,0,0,0,-,-,-,-,-
로스쿨,2021.04.14,JTBC,수목,106,961,184,320,9,0,0,0,0,0,0,0,0,0,-,-,-,-,-
어쩌다가족,2021.03.21,TVCHOS,토일,81,277,16,455,18,1.1,0.6,0.5,0.6,0.2,0.1,0.3,0.6,1,-,-,-,260,114
언더커버,2021.04.23,JTBC,금,28,130,60,144,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
다크홀,2021.04.30,OCN,금,12,71,4,44,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
빈센조,2021.02.20,tvN,토일,"13,081","123,690","24,126","4,142",527,10.6,7.3,6.5,8.1,5.2,4.2,5.7,12.3,11.4,1.9,"5,142","11,537","36,950","161,751"
펜트하우스2,2021.02.19,SBS,금,"5,447","52,099","9,035","1,359",76,22.5,14.9,12.3,17.6,9.2,9.4,14.5,17.7,24.6,1.1,"1,236","2,963","9,368","29,099"
마우스,2021.03.03,tvN,수목,"4,668","34,812","6,412","2,521",402,5.3,3.5,3,4,1.8,2,3.4,6.7,5.6,1.4,"1,163","3,750","21,240","43,350"
모범택시,2021.04.09,SBS,금,"4,426","32,497","9,883","3,997",315,11,7.2,6.8,7.6,4.1,3.9,6,10.3,12.1,1.8,"2,070","3,498","14,145","63,216"
나빌레라,2021.03.22,tvN,월화,"3,944","20,968","3,779","3,052",454,2.7,1.6,1.4,1.9,0.9,1.4,1.1,2.3,2.7,0.5,"2,459","3,112","4,112","23,994"
대박부동산,2021.04.14,KBS2,수목,"1,893","6,551","1,229","3,389",184,4.6,2.8,2.5,3.1,1.4,1.4,1.8,4.2,4.5,0.5,"1,703","2,858","4,958","14,771"
괴물,2021.02.19,JTBC,금,"1,802","12,470",835,"1,721",136,3.8,2.5,2.1,2.9,0.7,1.3,2,4.1,4.9,0.3,176,"6,015","6,248","41,961"
달이뜨는강,2021.02.15,KBS2,월화,"1,591","25,692","1,836","3,531",190,7.6,4.2,3.8,4.7,1.2,1.8,2.5,3.8,7,0.4,854,"4,835","4,041","4,280"
시지프스,2021.02.17,JTBC,수목,"1,531","9,665","1,161","1,086",120,3.7,2.5,2.3,2.7,1.1,1.6,1.9,3.5,4.5,0.8,653,"4,639","2,063","21,947"
로스쿨,2021.04.14,JTBC,수목,"1,460","12,147","1,652","3,081",216,3.9,2.2,1.9,2.6,0.9,1.4,1.6,2.4,4.5,1.8,676,"4,019","4,479","11,050"
오케이광자매,2021.03.13,KBS2,토일,"1,256","2,818","1,589","2,131",241,21.8,12.7,10.7,14.7,5.6,5.1,5.9,10.3,17,0.4,-,28,"6,055","3,959"
오주인님,2021.03.24,MBC,수목,945,"1,755",494,"2,654",295,1,0.7,0.7,0.8,0.6,0.7,0.8,0.8,0.9,0.1,"1,033",858,309,"1,764"
언더커버,2021.04.23,JTBC,금,903,"2,976",311,"2,239",98,2.6,1.8,1.7,1.8,0.8,0.9,1.2,2.3,3.5,0.2,466,"1,808","1,208","1,535"
이미테이션,2021.05.07,KBS2,금,630,"4,920",150,686,7,0,0,0,0,0,0,0,0,0,-,-,-,-,-
다크홀,2021.04.30,OCN,금,535,"2,614",153,"1,317",99,1.1,0.6,0.6,0.6,0.2,0.4,0.3,1.2,1.3,0,6,-,207,-
안녕나야,2021.02.17,KBS2,수목,459,"1,116",401,872,71,3.7,2.3,2,2.6,1.3,1.1,1.3,2.7,3.6,0.4,230,98,"1,547","14,737"
드라마스테이지2021,2021.03.03,tvN,수목,441,"4,541","1,156",604,160,0.9,0.5,0.5,0.5,0.2,0.3,0.6,1,0.8,0,-,381,722,"4,320"
오월의청춘,2021.05.03,KBS2,월화,323,"1,579",144,"1,274",19,0,0,0,0,0,0,0,0,0,-,-,-,-,-
어느날우리집현관으로멸망이들어왔다,2021.05.10,tvN,월화,269,"2,065",478,752,11,0,0,0,0,0,0,0,0,0,-,-,-,-,-
보쌈-운명을훔치다,2021.05.01,MBN,토일,175,"1,375",53,"1,058",50,0,0,0,0,0,0,0,0,0,-,-,-,-,-
어쩌다가족,2021.03.21,TVCHOS,토일,113,309,26,"1,036",60,0.7,0.5,0.4,0.5,0.2,0.3,0.2,0.3,0.9,-,-,551,128,562
마인,2021.05.08,tvN,토일,85,399,104,712,16,0,0,0,0,0,0,0,0,0,-,-,-,-,-
나의너에게,2021.04.19,KBS1,월화,26,68,3,117,0,1.3,0.7,0.6,0.7,0.2,0.3,0.8,0.6,0.7,-,-,"1,001",-,-
목표가생겼다,2021.05.19,MBC,수목,16,18,0,129,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-
빈센조,2021.02.20,tvN,토일,"5,942","37,782","4,216",688,114,12.1,8.5,7.8,9.3,6.1,5.8,6.5,14.5,13.4,0.8,"3,218","3,864","17,565","59,455"
모범택시,2021.04.09,SBS,금,"5,879","42,475","12,677","4,140",352,12.6,8.2,7.7,8.7,4.5,4.4,6.6,11.9,13.5,2.1,"1,373","21,028","17,097","86,609"
오월의청춘,2021.05.03,KBS2,월화,"4,309","23,870","4,442","3,439",276,4.8,2.8,2.4,3.3,1,1.4,1.9,2.9,5,0.4,"1,045","2,103","5,806","8,260"
어느날우리집현관으로멸망이들어왔다,2021.05.10,tvN,월화,"3,989","52,713","12,849","4,174",462,3.7,2.5,2.2,2.9,2.4,1.6,1.9,5.2,3.6,0.9,"2,336","3,691","21,471","48,909"
마인,2021.05.08,tvN,토일,"3,924","20,920","14,252","4,358",532,5.5,3.7,3,4.3,1.4,2.3,2.7,4.9,6.1,1.9,368,305,"19,689","56,729"
로스쿨,2021.04.14,JTBC,수목,"3,187","19,822","5,462","1,889",325,4.3,2.7,2.3,3.1,1.1,1.8,1.7,3,5.1,1.5,"1,001","4,815","5,849","62,532"
펜트하우스3,2021.06.04,SBS,금,"3,157","29,080","4,136","1,419",43,0,0,0,0,0,0,0,0,0,-,-,-,620,"12,412"
마우스,2021.03.03,tvN,수목,"2,870","21,462","6,258","1,906",241,5.8,3.8,3.2,4.5,2.5,2.2,3.2,7.2,6.3,1.1,763,"3,208","19,654","47,930"
대박부동산,2021.04.14,KBS2,수목,"2,070","7,670","1,860","1,680",190,5.3,3.2,2.9,3.6,1.5,1.5,2.3,5,5.3,0.5,514,"5,562","6,358","22,902"
간떨어지는동거,2021.05.26,tvN,수목,"1,877","12,525","3,546","1,914",141,4.2,3,2.5,3.4,2.5,1.5,2.4,5.2,5.1,0.2,82,763,"7,513","8,913"
이미테이션,2021.05.07,KBS2,금,"1,799","18,276","1,046","1,592",121,1.2,0.7,0.4,0.9,0.5,0.6,0.5,0.9,0.8,0.1,27,"21,579","2,069","9,794"
오케이광자매,2021.03.13,KBS2,토일,"1,750","7,580","4,417","2,654",305,23.5,13.7,11.6,15.8,5.1,5.6,6.3,11,19.2,0.5,514,477,"18,027","7,200"
다크홀,2021.04.30,OCN,금,"1,480","8,627",551,"1,629",411,0.8,0.5,0.5,0.5,0.4,0.3,0.5,0.8,0.7,0.3,463,"1,044","1,951","23,229"
언더커버,2021.04.23,JTBC,금,"1,099","3,325",887,"2,226",309,2.7,1.7,1.7,1.8,0.4,1,0.8,1.7,3.8,0.4,"1,765","2,404","7,584","17,272"
보쌈-운명을훔치다,2021.05.01,MBN,토일,"1,054","5,448","1,008","2,583",441,4.2,2.4,2.1,2.7,0.4,1.1,0.9,1.4,3.4,0.6,600,"2,300","5,539","7,862"
라켓소년단,2021.05.31,SBS,월화,440,"2,076",250,"1,398",68,5.1,3.3,2.8,3.8,2.4,1.5,2.4,4.1,5.8,0.1,-,-,517,-
슬기로운의사생활2,2021.06.17,tvN,수목,404,"2,479",484,417,6,0,0,0,0,0,0,0,0,0,-,-,592,437,"2,146"
오주인님,2021.03.24,MBC,수목,391,814,152,"1,209",94,2.2,1.1,1.1,1.2,0.4,0.5,0.9,1.4,1.6,0,179,511,12,"1,989"
보이스4,2021.06.18,tvN,금,312,"1,513",85,398,22,0,0,0,0,0,0,0,0,0,-,-,-,-,-
목표가생겼다,2021.05.19,MBC,수목,249,467,75,"1,514",112,2.7,1.5,1.4,1.6,0.4,0.6,1.1,1.7,2.5,0,366,"1,078",550,"2,408"
나빌레라,2021.03.22,tvN,월화,242,420,2,13,0,0,0,0,0,0,0,0,0,0,-,-,546,-,"1,376"
알고있지만,2021.06.19,JTBC,토일,210,"2,751",482,656,7,0,0,0,0,0,0,0,0,0,-,-,-,-,-
결혼작사이혼작곡시즌2,2021.06.12,TVCHOS,토일,182,602,18,639,6,0,0,0,0,0,0,0,0,0,-,-,-,-,"4,193"
멀리서보면푸른봄,2021.06.14,KBS2,월화,174,999,30,296,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-
어쩌다가족,2021.03.21,TVCHOS,토일,100,"1,236",32,786,71,0.9,0.5,0.5,0.6,0.1,0.4,0.2,0.4,0.9,-,-,"1,147",349,23
월간집,2021.06.16,JTBC,수목,27,95,6,125,7,0,0,0,0,0,0,0,0,0,-,-,-,-,-
미치지않고서야,2021.06.23,MBC,수목,24,17,0,4,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-
펜트하우스3,2021.06.04,SBS,금,"15,591","146,257","36,127","5,469",306,14.8,9.8,8.1,11.4,7.3,5.9,8,11.4,16.8,0.9,"2,282","8,486","19,243","74,230"
슬기로운의사생활2,2021.06.17,tvN,수목,"8,719","63,238","14,149","4,107",172,9.6,7.2,5.9,8.5,6.3,4.6,7.3,12.9,10.3,0.9,"3,309","6,436","18,594","45,956"
간떨어지는동거,2021.05.26,tvN,수목,"3,731","29,302","21,047","2,817",524,3.7,2.5,2,3.1,1.9,1.3,2.3,5.1,3.4,0.9,819,"9,691","27,947","59,829"
어느날우리집현관으로멸망이들어왔다,2021.05.10,tvN,월화,"3,261","51,101","16,120","3,521",637,3,2,1.7,2.3,2,1.3,1.5,4.2,2.5,0.5,824,"6,447","29,376","49,105"
라켓소년단,2021.05.31,SBS,월화,"3,036","18,689","2,968","3,108",317,4.9,3.3,3,3.6,2.7,1.6,2,5,5.8,1,"1,010","3,698","8,578","40,367"
마인,2021.05.08,tvN,토일,"2,863","15,929","16,180","3,369",515,6.5,4.3,3.5,5.2,1.8,2.6,3.3,4.9,7.4,2.1,"2,334","2,144","17,731","72,034"
오월의청춘,2021.05.03,KBS2,월화,"2,760","14,271","2,164","1,791",91,4.8,2.9,2.4,3.3,1.1,1.5,1.8,2.9,5.2,0.1,215,"6,185","2,439","8,237"
멀리서보면푸른봄,2021.06.14,KBS2,월화,"2,691","29,595",997,"2,815",186,2.2,1.3,1,1.6,0.9,0.8,0.8,1.2,1.9,0.1,110,783,"1,583","4,515"
보이스4,2021.06.18,tvN,금,"2,505","10,909","1,087","2,488",264,3.4,2.2,2,2.5,1.6,1.4,1.4,3.7,4.3,0.4,150,833,"7,289","13,945"
알고있지만,2021.06.19,JTBC,토일,"2,353","20,972","5,087","2,526",128,1.4,1.1,0.9,1.2,1.4,1,0.8,1.4,1.1,0.3,68,218,"3,586","13,060"
오케이광자매,2021.03.13,KBS2,토일,"2,322","8,390","7,565","2,181",252,23.1,13.4,11.3,15.5,4.5,5.7,5.8,11,18.5,0.5,"1,112","1,149","11,647","6,060"
월간집,2021.06.16,JTBC,수목,"2,040","9,137","1,231","1,930",235,1.9,1.1,0.9,1.4,0.4,0.5,0.6,1.7,2,0.1,128,279,"3,638","5,089"
결혼작사이혼작곡시즌2,2021.06.12,TVCHOS,토일,"1,887","6,125","2,067","3,054",150,3.7,2,1.5,2.5,0.4,0.8,1,1.1,2.6,0.3,187,437,"1,267","24,911"
로스쿨,2021.04.14,JTBC,수목,"1,505","12,119","2,915","1,283",136,4.2,2.6,2.2,3,1.3,2,1.4,3.3,4.7,0.9,"1,286","3,668","3,395","47,680"
미치지않고서야,2021.06.23,MBC,수목,830,"2,805",508,"2,077",128,3.5,1.9,1.7,2,0.7,0.7,1.7,1.5,3.1,0.1,53,28,"1,603","1,345"
보쌈-운명을훔치다,2021.05.01,MBN,토일,807,"4,992","1,787","1,785",303,5.4,3,2.7,3.3,0.4,1.3,1.2,1.8,4.1,0.2,"1,513","1,034","10,402","12,698"
이미테이션,2021.05.07,KBS2,금,794,"8,066",616,749,109,0.9,0.5,0.4,0.6,0.1,0.4,0.4,0.5,0.7,0.1,451,913,"1,363","2,558"
대박부동산,2021.04.14,KBS2,수목,746,"2,983",790,850,97,4.7,2.9,2.5,3.3,1.3,1.4,1.7,4,4.8,0.2,-,"1,703","3,333","13,285"
언더커버,2021.04.23,JTBC,금,486,"1,908",400,"1,053",142,2.9,1.8,1.9,1.8,0.4,1,0.6,2.1,4,0.1,79,"2,524","3,931","15,229"
악마판사,2021.07.03,tvN,토일,386,"2,797",343,944,18,0,0,0,0,0,0,0,0,0,-,-,-,-,-
너는나의봄,2021.07.05,tvN,월화,320,"1,086",180,864,11,0,0,0,0,0,0,0,0,0,-,-,-,-,-
다크홀,2021.04.30,OCN,금,210,454,92,415,89,0.8,0.6,0.5,0.6,0.5,0.5,0.3,1.1,0.8,0,-,-,226,"5,489"
어쩌다가족,2021.03.21,TVCHOS,토일,23,33,3,176,9,0.8,0.5,0.5,0.5,0.2,0.2,0.1,0.3,0.9,-,-,429,-,-
