프로그램명,장르1,장르2,감독(연출),작가
펜트하우스2,범죄,스릴러,주동민,김순옥
펜트하우스3,범죄,스릴러,주동민,김순옥
낭만닥터김사부2,의학,,유인식,강은경
사랑의불시착,로맨스,,이정효,박지은
펜트하우스,범죄,스릴러,주동민,김순옥
슬기로운의사생활시즌2,의학,,신원호,이우정
모범택시,액션,,박준우,이지현
빈센조,액션,,김희원,박재범
스토브리그,스포츠,,정도윤,이신화
원더우먼,로맨스,코미디,최영훈,김윤
철인왕후,사극,,윤성식,최아일
갯마을차차차,로맨스,,유제원,신하은
지리산,미스터리,,이응복,김은희
슬기로운의사생활,의학,,신원호,이우정
굿캐스팅,수사,,최영훈,박지하
홍천기,판타지,사극,장태유,하은
더킹영원의군주,판타지,로맨스,정지현,김은숙
하이바이마마,휴먼,,유제원,권혜주
옷소매붉은끝동,사극,로맨스,송영화,정해리
비밀의숲2,추리,,박현석,이수연
앨리스,판타지,,백수찬,김규원
99억의여자,범죄,액션,유관모,한지훈
검은태양,액션,,김성용,박석호
마우스,수사,,최준배,최란
경찰수업,수사,,유관모,민정
편의점샛별이,로맨스,,이명우,손근주
청춘기록,로맨스,,안길호,하명희
연모,로맨스,사극,,송현욱,한희정
달이뜨는강,사극,,윤상호,한지훈
암행어사조선비밀수사단,사극,,이민수,강민선
마인,미스터리,,이나정,백미경
구미호뎐,판타지,로맨스,강신효,한우리
라켓소년단,스포츠,,조영광,정보훈
여신강림,로맨스,,김상협,이시은
악마판사,법정,미스터리,최정규,문유석
경이로운소문,액션,퇴마,유선동,김새봄
꽃피면달생각하고,사극,로맨스,황인혁,김아록
불가살,미스터리,판타지,장영우,서재원
꼰대인턴,코미디,,남성우,신소라
지금헤어지는중입니다,로맨스,,김재현,제인
사이코지만괜찮아,로맨스,코미디,박신우,조용
날아라개천용,법정,,곽정환,박상규
대박부동산,퇴마,,박진석,하수진
어느날우리집현관으로멸망이들어왔다,로맨스,판타지,권영일,임메아리
모범형사,범죄,추리,조남국,최진원
스타트업,오피스,로맨스,오충환,박혜련
오월의청춘,로맨스,,송민엽,이강
365운명을거스르는1년,로맨스,판타지,김경희,이서윤
시지프스,액션,미스터리,진혁,전찬호
산후조리원,의학,,박수원,김지수
브람스를좋아하세요,로맨스,,조영민,류보리
낮과밤,추리,미스터리,김정현,신유담
로스쿨,법정,,김석윤,서인
해피니스,액션,판타지,안길호,한상운
간떨어지는동거,판타지,로맨스,남성우,백선우
그해우리는,로맨스,,김윤진,이나은
보이스시즌4,추리,수사,신용휘,마진원
방법,미스터리,판타지,김용완,연상호
악의꽃,추리,로맨스,김철규,유정희
안녕나야,로맨스,,이현석,유송이
더게임0시를향하여,미스터리,범죄,장준호,이지효
달리와감자탕,로맨스,,이정섭,손은혜
저녁같이드실래요,로맨스,,고재현,이수하
화양연화삶이꽃이되는순간,로맨스,,손정현,전희영
그남자의기억법,추리,수사,오현종,김윤주
블랙독,휴먼,,황준혁,박주연
18어게인,판타지,로맨스,하병훈,김도연
하이클래스,미스터리,,최병길,스토리홀릭
배드앤크레이지,액션,판타지,유선동,김새봄
뫼비우스:검은태양,액션,,위득규,유상
싸이코패스다이어리,미스터리,추리,이종재,류용재
메모리스트,판타지,추리,김휘,안도하
미쓰리는알고있다,미스터리,수사,이동현,서영희
아는건별로없지만가족입니다,휴먼,,권영일,김은정
미치지않고서야,오피스,,최정인,정도윤
쌍갑포차,판타지,,정창근,하윤아
검사내전,법정,추리,이태곤,이현
어사와조이,사극,로맨스,유종선,이재윤
런온,스포츠,로맨스,이재훈,박시현
나빌레라,휴먼,스포츠,한동화,이은미
좀비탐정,액션,판타지,심재현,백은진
내가가장예뻤을때,휴먼,,오경훈,조현경
나를사랑한스파이,로맨스,,이재진,이지민
그놈이그놈이다,로맨스 코미디,최윤석,이은영
바람피면죽는다,로맨스,코미디,김형석,이성민
홈타운,미스터리,추리,박현석,주진
도도솔솔라라솔,로맨스,,김민경,오지영
출사표,정치,오피스,황승기,문현경
하자있는인간들,로맨스,,오진석,안신유
카이로스,판타지,미스터리,박승우,이수현
목표가생겼다,로맨스,,심소연,류솔아
계약우정,로맨스,코미디,유영은,김주만
십시일반,미스터리,추리,진창규,최경
너는나의봄,로맨스,미스터리,정지현,이미나
본어게인,판타지,로맨스,진형욱,김경민
선배그립스틱바르지마요,오피스, 로맨스,이동윤,채윤
영혼수선공,의학,,유현기,이향희
설강화:SNOWDROP,로맨스,판타지,조현탁,유현미
공작도시,미스터리,추리,전창근,손세동
번외수사,액션,수사,강효진,이유진
써치,추리,수사,이용호,김은진
멜랑꼴리아,로맨스,,민연홍,반기리
미씽그들이있었다,판타지,수사
동백꽃필무렵,미스터리,로맨스,차영훈,임상춘
더로드1의비극,미스터리,,김노원,윤희정
인간실격,휴먼,,허진호,김지혜
날씨가좋으면찾아가겠어요,로맨스,,한지승,한가람
오주인님,로맨스,코미디,오다영,조진국
우리사랑했을까,로맨스,코미디,김도형,이승진
반의반,로맨스,,이상엽,이숙연
본대로말하라,추리,수사,김상훈,고영재
사생활,추리,로맨스,남건,유성열
오마이베이비,휴먼,로맨스,남기훈,노선재
멀리서보면푸른봄,청춘,,김정현,고연수
너를닮은사람,미스터리,로맨스,임현욱,유보라
연애는귀찮지만외로운건싫어,로맨스,코미디,이현주,조진국
학교2021,청춘,,김민태,조아라
구경이,액션,코미디,이정흠,성초이
루갈,액션,판타지,강철우,도현
이태원클라쓰,로맨스,청춘,김성윤,조광진
다크홀,판타지,미스터리,김봉주,정이도
언더커버,정치,액션,송현욱,송자훈
안녕드라큘라,휴먼,,김다예,하정윤
제발그남자만나지마요,로맨스,코미디,오미경,김정희
부부의세계,미스터리, 로맨스,모완일,주현
라이브온,청춘,,김상우,방유정
트레인,판타지,미스터리,이승훈,박가연
허쉬,오피스,로맨스,최규식,김정민
야식남녀,로맨스,,송지원,박승혜
IDOL,청춘,로맨스,노종찬,정윤정
손THEGUEST,판타지,미스터리,김홍선,서재원
트랩,액션,추리,박신우,남상욱
