,방송일자,채널명,프로그램시작시간,프로그램종료시간,프로그램명,방송회차명,프로그램장르소분류명,출연진내용,장르1,장르2,가구평균시청률(%)
0,20200101,KBS2,22,222624,99억의여자,17회,미니시리즈,"조여정,김강우,정웅인",범죄,액션,8.7
1,20200101,MBC,21,220027,하자있는인간들,22회,미니시리즈,"오연서,안재현,김슬기",로맨스,,2.5
2,20200101,tvN,21,224540,싸이코패스다이어리,13회,미니시리즈,"윤시윤,정인선,박성훈",미스터리,추리,2.4
3,20200102,OCN,22,235816,손THEGUEST,1회,미니시리즈,"김동욱,김재욱,정은채",판타지,미스터리,
4,20200103,SBS,22,223426,스토브리그,6회,미니시리즈,"남궁민,박은빈,오정세",스포츠,,13.25
5,20200106,SBS,21,221518,낭만닥터김사부2,1회,미니시리즈,"한석규,안효섭,이성경",의학,,17.35
6,20200106,JTBC,21,224027,검사내전,5회,미니시리즈,"이선균,정려원,이성재",법정,추리,3.5
7,20200106,tvN,21,224434,블랙독,7회,미니시리즈,"서현진,라미란,하준",휴먼,,4.4
8,20200111,tvN,21,223618,사랑의불시착,7회,미니시리즈,"현빈,손예진,서지혜",로맨스,,14.05
9,20200116,OCN,22,240218,트랩,1회,미니시리즈,"이서진,성동일,임화영",액션,추리,
10,20200122,MBC,21,215959,더게임0시를향하여,2회,미니시리즈,"옥택연,이연희,임주환",미스터리,범죄,3.0666666666666664
11,20200201,OCN,22,240438,본대로말하라,1회,미니시리즈,"장혁,최수영,진서연",추리,수사,2.6500000000000004
12,20200203,JTBC,22,240505,이태원클라쓰,1회,미니시리즈,"박서준,김다미,유재명",로맨스,청춘,8.366666666666667
13,20200210,tvN,21,224434,방법,1회,미니시리즈,"엄지원,정지소,성동일",미스터리,판타지,4.05
14,20200217,JTBC,21,224143,안녕드라큘라,1회,미니시리즈,"서현,이지현,이주빈",휴먼,,1.0
15,20200222,tvN,21,222616,하이바이마마,1회,미니시리즈,"김태희,이규형,고보결",휴먼,,5.633333333333333
16,20200224,JTBC,21,223504,날씨가좋으면찾아가겠어요,1회,미니시리즈,"박민영,서강준,문정희",로맨스,,1.9000000000000001
17,20200311,tvN,22,235431,메모리스트,1회,미니시리즈,"유승호,이세영,조성하",판타지,추리,2.95
18,20200318,MBC,21,220116,그남자의기억법,2회,미니시리즈,"김동욱,문가영,윤종훈",추리,수사,2.8666666666666667
19,20200319,tvN,21,223557,슬기로운의사생활,2회,미니시리즈,"조정석,유연석,정경호",의학,,10.1
20,20200323,MBC,21,220109,365운명을거스르는1년,2회,미니시리즈,"이준혁,남지현,김지수",로맨스,판타지,4.4
21,20200323,tvN,21,221722,반의반,1회,미니시리즈,"정해인,채수빈,이하나",로맨스,,1.6
22,20200328,OCN,22,241751,루갈,1회,미니시리즈,"최진혁,박성웅,조동혁",액션,판타지,2.5
23,20200402,JTBC,22,241856,부부의세계,1회,미니시리즈,"김희애,박해준,한소희",미스터리,로맨스,12.833333333333334
24,20200406,KBS2,22,223449,계약우정,1회,미니시리즈,"이신영,신승호,김소혜",로맨스,코미디,2.2
25,20200417,SBS,22,223513,더킹영원의군주,1회,미니시리즈,"이민호,김고은,우도환",판타지,로맨스,7.233333333333333
26,20200420,KBS2,22,223000,본어게인,1회,미니시리즈,"장기용,장기용,진세연",판타지,로맨스,2.433333333333333
27,20200425,tvN,21,221858,화양연화삶이꽃이되는순간,1회,미니시리즈,"유지태,이보영,진영",로맨스,,3.6999999999999997
28,20200427,SBS,21,222114,굿캐스팅,1회,미니시리즈,"최강희,이상엽,유인영",수사,,8.266666666666667
29,20200506,KBS2,22,223217,영혼수선공,1회,미니시리즈,"신하균,정소민,태인호",의학,,2.4
30,20200513,tvN,22,235728,오마이베이비,1회,미니시리즈,"장나라,고준,박병은",휴먼,로맨스,1.6333333333333335
31,20200520,MBC,21,220206,꼰대인턴,2회,미니시리즈,"박해진,김응수,한지은",코미디,,4.633333333333334
32,20200520,JTBC,21,224611,쌍갑포차,1회,미니시리즈,"황정음,육성재,최원영",판타지,,2.8
33,20200523,OCN,22,241004,번외수사,1회,미니시리즈,"차태현,이선빈,정상훈",액션,수사,2.5
34,20200525,MBC,21,220700,저녁같이드실래요,1회,미니시리즈,"송승헌,서지혜,이지훈",로맨스,,3.0666666666666664
35,20200525,JTBC,21,224135,야식남녀,1회,미니시리즈,"정일우,강지영,이학주",로맨스,,0.9
36,20200602,tvN,21,221844,아는건별로없지만가족입니다,2회,미니시리즈,"한예리,김지석,추자현",휴먼,,3.15
37,20200619,SBS,22,223247,편의점샛별이,1회,미니시리즈,"지창욱,김유정,한선화",로맨스,,5.733333333333333
38,20200620,tvN,21,222657,사이코지만괜찮아,1회,미니시리즈,"김수현,서예지,오정세",로맨스,코미디,5.033333333333333
39,20200701,KBS2,21,215812,출사표,1회,미니시리즈,"나나,박성훈,유다인",정치,오피스,2.7
40,20200706,KBS2,21,215856,그놈이그놈이다,1회,미니시리즈,"황정음,윤현민,서지훈",로맨스, 코미디,3.0666666666666664
41,20200706,JTBC,21,223203,모범형사,1회,미니시리즈,"손현주,장승조,이엘리야",범죄,추리,4.7
42,20200708,MBC,21,215630,미쓰리는알고있다,1회,미니시리즈,"강성연,조한선,박신아",미스터리,수사,2.9
43,20200708,JTBC,21,223912,우리사랑했을까,1회,미니시리즈,"송지효,손호준,송종호",로맨스,코미디,1.7
44,20200711,OCN,22,233102,트레인,1회,미니시리즈,"윤시윤,경수진,신소율",판타지,미스터리,1.35
45,20200722,MBC,21,215611,십시일반,1회,미니시리즈,"김혜준,오나라,김정영",미스터리,추리,2.65
46,20200729,tvN,22,235408,악의꽃,1회,미니시리즈,"이준기,문채원,장희진",추리,로맨스,3.533333333333333
47,20200815,tvN,21,221333,비밀의숲2,1회,미니시리즈,"조승우,배두나,최무성",추리,,6.566666666666666
48,20200817,MBC,21,220049,연애는귀찮지만외로운건싫어,1회,미니시리즈,"지현우,김소은,박건일",로맨스,코미디,0.23333333333333336
49,20200819,MBC,21,220008,내가가장예뻤을때,1회,미니시리즈,"임수향,지수,하석진",휴먼,,2.9333333333333336
50,20200822,SBS,22,230545,앨리스,,미니시리즈,"김희선,주원,김희선",판타지,,4.933333333333334
51,20200829,OCN,22,233804,미씽그들이있었다,1회,미니시리즈,"고수,허준호,안소희",판타지,수사,2.9
52,20200831,SBS,22,223519,브람스를좋아하세요,1회,미니시리즈,"박은빈,김민재,김성철",로맨스,,
53,20200902,KBS2,21,220407,동백꽃필무렵,1회,미니시리즈,"공효진,강하늘,김지석",미스터리,로맨스,
54,20200907,tvN,21,221730,청춘기록,1회,미니시리즈,"박보검,박소담,변우석",로맨스,,6.5
55,20200921,KBS2,21,220553,좀비탐정,1회,미니시리즈,"최진혁,박주현,권화운",액션,판타지,2.7
56,20200921,JTBC,21,224335,18어게인,1회,미니시리즈,"김하늘,윤상현,이도현",판타지,로맨스,2.8000000000000003
57,20201007,KBS2,21,220202,도도솔솔라라솔,1회,미니시리즈,"고아라,이재욱,김주헌",로맨스,,2.5
58,20201007,JTBC,21,224429,사생활,1회,미니시리즈,"서현,고경표,김효진",추리,로맨스,1.7
59,20201007,tvN,22,234608,구미호뎐,1회,미니시리즈,"이동욱,조보아,김범",판타지,로맨스,5.1000000000000005
60,20201017,tvN,21,214915,스타트업,1회,미니시리즈,"배수지,남주혁,김선호",오피스,로맨스,4.0
61,20201017,OCN,22,233920,써치,1회,미니시리즈,"장동윤,정수정,문정희",추리,수사,3.25
62,20201021,MBC,21,215350,나를사랑한스파이,1회,미니시리즈,"문정혁,유인나,임주환",로맨스,,2.6666666666666665
63,20201026,MBC,21,215500,카이로스,1회,미니시리즈,"신성록,이세영,안보현",판타지,미스터리,2.8000000000000003
64,20201026,SBS,22,225024,펜트하우스,1회,미니시리즈,"이지아,김소연,유진",범죄,스릴러,14.2
65,20201030,SBS,22,223203,날아라개천용,1회,미니시리즈,"권상우,배성우,김주현",법정,,4.475
66,20201102,tvN,21,221117,산후조리원,1회,미니시리즈,"엄지원,박하선,장혜진",의학,,3.5
67,20201116,MBC,22,231400,제발그남자만나지마요,1회,미니시리즈,"송하윤,윤보미,공민정",로맨스,코미디,0.3666666666666667
68,20201117,JTBC,21,224011,라이브온,1회,미니시리즈,"황민현,정다빈,노종현",청춘,,0.9
69,20201128,OCN,22,233944,경이로운소문,1회,미니시리즈,"조병규,유준상,김세정",액션,퇴마,7.033333333333334
70,20201130,tvN,21,221152,낮과밤,1회,미니시리즈,"남궁민,김설현,이청아",추리,미스터리,4.3
71,20201202,KBS2,21,220553,바람피면죽는다,1회,미니시리즈,"조여정,고준,김영대",로맨스,코미디,2.9000000000000004
72,20201212,tvN,21,223004,철인왕후,1회,미니시리즈,"신혜선,김정현,배종옥",사극,,10.5
73,20201215,JTBC,22,234158,허쉬,2회,미니시리즈,"황정민,윤아,손병호",오피스,로맨스,1.9000000000000001
74,20201216,JTBC,21,222533,런온,1회,미니시리즈,"임시완,신세경,수영",스포츠,로맨스,2.2666666666666666
75,20201221,KBS2,21,220647,암행어사조선비밀수사단,1회,미니시리즈,"김명수,권나라,이이경",사극,,7.766666666666666
76,20210106,tvN,22,235151,여신강림,7회,미니시리즈,"문가영,차은우,황인엽",로맨스,,3.733333333333333
77,20210118,JTBC,21,222212,선배그립스틱바르지마요,1회,미니시리즈,"원진아,로운,이현욱",오피스,로맨스,1.7
78,20210401,KBS2,21,220446,안녕나야,14회,미니시리즈,"최강희,김영광,이레",로맨스,,3.4
79,20210401,MBC,21,214953,오주인님,4회,미니시리즈,"이민기,나나,강민혁",로맨스,코미디,
80,20210401,JTBC,21,222637,시지프스,14회,미니시리즈,"조승우,박신혜,김병철",액션,미스터리,4.2
81,20210401,tvN,22,511,마우스,10회,미니시리즈,"이승기,이희준,박주현",수사,,5.3999999999999995
82,20210402,SBS,22,223547,펜트하우스2,13회,미니시리즈,"유진,김소연,이지아",범죄,스릴러,20.633333333333333
83,20210403,tvN,21,223016,빈센조,13회,미니시리즈,"송중기,전여빈,옥택연",액션,,9.975
84,20210405,KBS2,21,220440,달이뜨는강,15회,미니시리즈,"김소현,나인우,이지훈",사극,,7.5
85,20210405,tvN,21,221617,나빌레라,5회,미니시리즈,"박인환,송강,나문희",휴먼,스포츠,2.6500000000000004
86,20210409,SBS,22,223735,모범택시,1회,미니시리즈,"이제훈,이솜,김의성",액션,,11.8
87,20210414,KBS2,21,220306,대박부동산,1회,미니시리즈,"장나라,정용화,강말금",퇴마,,4.866666666666666
88,20210414,JTBC,21,222048,로스쿨,1회,미니시리즈,"김명민,김범,류혜영",법정,,4.133333333333334
89,20210427,JTBC,21,222435,언더커버,1회,미니시리즈,"지진희,김현주,허준호",정치,액션,2.733333333333333
90,20210430,tvN,22,235220,다크홀,1회,미니시리즈,"김옥빈,이준혁,임원희",판타지,미스터리,0.9
91,20210503,KBS2,21,220526,오월의청춘,1회,미니시리즈,"이도현,고민시,이상이",로맨스,,4.8
92,20210508,tvN,21,222139,마인,1회,미니시리즈,"이보영,김서형,이현욱",미스터리,,6.0
93,20210510,tvN,21,220943,어느날우리집현관으로멸망이들어왔다,1회,미니시리즈,"박보영,서인국,이수혁",로맨스,판타지,3.35
94,20210519,MBC,21,214745,목표가생겼다,1회,미니시리즈,"김환희,류수영,김도훈",로맨스,,2.7
95,20210531,SBS,22,223348,라켓소년단,1회,미니시리즈,"김상경,오나라,탕준상",스포츠,,4.9
96,20210701,MBC,21,220411,미치지않고서야,4회,미니시리즈,"정재영,문소리,이상엽",오피스,,3.5666666666666664
97,20210701,tvN,22,235635,간떨어지는동거,12회,미니시리즈,"장기용,혜리,강한나",판타지,로맨스,3.733333333333333
98,20210702,SBS,22,232719,펜트하우스3,5회,미니시리즈,"유진,김소연,이지아",범죄,스릴러,15.725
99,20210703,tvN,21,223536,악마판사,1회,미니시리즈,"지성,김민정,진영",법정,미스터리,5.35
100,20210703,tvN,22,655,보이스시즌4,6회,미니시리즈,"송승헌,이하나,이규형",추리,수사,
101,20210705,KBS2,21,223701,멀리서보면푸른봄,7회,미니시리즈,"박지훈,강민아,배인혁",청춘,,2.1
102,20210705,tvN,21,221714,너는나의봄,1회,미니시리즈,"서현진,김동욱,윤박",로맨스,미스터리,2.2
103,20210804,tvN,22,1819,더로드1의비극,1회,미니시리즈,"지진희,윤세아,김혜은",미스터리,,1.9500000000000002
104,20210805,tvN,21,223210,슬기로운의사생활시즌2,7회,미니시리즈,"조정석,유연석,정경호",의학,,
105,20210809,KBS2,21,223551,경찰수업,1회,미니시리즈,"진영,차태현,정수정",수사,,5.966666666666666
106,20210828,tvN,21,223007,갯마을차차차,1회,미니시리즈,"신민아,김선호,이상이",로맨스,,7.833333333333333
107,20210830,SBS,21,230711,홍천기,1회,미니시리즈,"안효섭,김유정,공명",판타지,사극,7.6000000000000005
108,20210904,JTBC,22,234313,인간실격,1회,미니시리즈,"전도연,류준열,박병은",휴먼,,1.25
109,20210906,tvN,22,233946,하이클래스,1회,미니시리즈,"조여정,김지수,하준",미스터리,,3.5666666666666664
110,20210917,MBC,22,231540,검은태양,1회,미니시리즈,"남궁민,박하선,김지은",액션,,4.75
111,20210917,SBS,21,230347,원더우먼,1회,미니시리즈,"이하늬,이하늬,이상윤",로맨스,코미디,11.833333333333334
112,20210922,KBS2,21,224157,달리와감자탕,1회,미니시리즈,"김민재,박규영,권율",로맨스,,4.233333333333333
113,20210922,tvN,22,233829,홈타운,1회,미니시리즈,"유재명,한예리,엄태구",미스터리,추리,1.8499999999999999
114,20211011,KBS2,21,225039,연모,1회,미니시리즈,"박은빈,로운,남윤수",로맨스, 사극,7.466666666666666
115,20211013,JTBC,22,233204,너를닮은사람,1회,미니시리즈,"고현정,신현빈,김재영",미스터리,로맨스,1.5999999999999999
116,20211023,tvN,21,222659,지리산,1회,미니시리즈,"전지현,주지훈,성동일",미스터리,,6.866666666666667
117,20211029,MBC,22,230131,뫼비우스:검은태양,1회,미니시리즈,"박하선,정문성,장영남",액션,,3.1
118,20211030,JTBC,22,234303,구경이,1회,미니시리즈,"이영애,김혜준,김해숙",액션,코미디,1.5333333333333332
119,20211105,tvN,22,234916,해피니스,1회,미니시리즈,"한효주,박형식,조우진",액션,판타지,3.05
120,20211108,tvN,22,233528,어사와조이,1회,미니시리즈,"옥택연,김혜윤,양희경",사극,로맨스,2.95
121,20211110,tvN,22,234335,멜랑꼴리아,1회,미니시리즈,"임수정,이도현,진경",로맨스,,1.75
122,20211112,MBC,21,230302,옷소매붉은끝동,1회,미니시리즈,"이준호,이세영,강훈",사극,로맨스,7.7
123,20211112,SBS,22,230749,지금헤어지는중입니다,1회,미니시리즈,"송혜교,장기용,최희서",로맨스,,5.199999999999999
124,20211115,JTBC,22,2004,IDOL,3회,미니시리즈,"안희연,곽시양,김민규",청춘,로맨스,0.6
125,20211118,KBS2,21,223616,학교2021,,미니시리즈,"김요한,조이현,추영우",청춘,,2.1
126,20211206,SBS,21,230320,그해우리는,1회,미니시리즈,"최우식,김다미,김성철",로맨스,,3.5
127,20211208,JTBC,22,233512,공작도시,1회,미니시리즈,"수애,김강우,김미숙",미스터리,추리,2.2
128,20211217,tvN,22,335,배드앤크레이지,1회,미니시리즈,"이동욱,위하준,한지은",액션,판타지,2.7
129,20211218,JTBC,22,403,설강화:SNOWDROP,1회,미니시리즈,"정해인,지수,유인나",로맨스,판타지,2.1
130,20211218,tvN,21,223239,불가살,1회,미니시리즈,"이진욱,권나라,이준",미스터리,판타지,4.6
131,20211220,KBS2,21,224640,꽃피면달생각하고,1회,미니시리즈,"유승호,이혜리,변우석",사극,로맨스,6.8
