,배우,브랜드평판지수,작품,작품 개수
0,나인우,,"[' 철인왕후 ', ' 달이뜨는강 ']",2
1,김주현,,"[' 날아라 개천용 ', ' 부잣집 아들 ', ' 언니는 살아있다 ']",3
3,진경,,"[' 루카 : 더 비기닝 ', ' 오! 삼광빌라! ']",2
5,원진아,,"[' 선배, 그 립스틱 바르지 마요 ', ' 날 녹여주오 ', ' 라이프 ', ' 그냥 사랑하는 사이 ']",4
8,서현,,"[' 시간 ', ' 사생활 ', ' 안녕 드라큘라 ', ' 도둑놈, 도둑님 ']",4
9,안희연,,[' 엑스엑스(XX) '],1
10,나문희,,[' 나빌레라 '],1
12,진세연,,"[' 본 어게인 ', ' 간택 - 여인들의 전쟁 ', ' 아이템 ', ' 고품격 짝사랑 ', ' 대군-사랑을 그리다 ']",5
13,고수,,"[' 미씽: 그들이 있었다 ', ' 머니게임 ', ' 흉부외과:심장을 훔친 의사들 ', ' 마녀의 사랑 ']",4
14,정일우,,"[' 보쌈-운명을 훔치다 ', ' 야식남녀 ', ' 해치 ', ' 고품격 짝사랑 ']",4
16,김재영,,"[' 너를 닮은 사람 ', ' 사랑은 뷰티풀 인생은 원더풀 ', ' 시크릿 부티크 ', ' 은주의 방 ']",4
18,김요한,,[' 학교 2021 '],1
19,임시완,,"[' 트레이서 ', ' 런 온 ', ' 타인은 지옥이다 ', ' 왕은 사랑한다 ']",4
20,이수혁,,"[' 내일 ', ' 어느 날 우리 집 현관으로 멸망이 들어왔다 ', ' 본 어게인 ']",3
21,황정음,,"[' 그놈이 그놈이다 ', ' 쌍갑포차 ', ' 훈남정음 ']",3
22,손병호,,"[' 암행어사: 조선비밀수사단 ', ' 허쉬 ', ' 모범형사 ', ' 웰컴2라이프 ']",4
24,이성재,,"[' 쇼윈도:여왕의 집 ', ' 검사내전 ', ' 어비스 ', ' 이별이 떠났다 ']",4
26,송종호,,"[' 우리, 사랑했을까 ']",1
31,권상우,,"[' 날아라 개천용 ', ' 추리의 여왕 시즌2 ', ' 추리의 여왕 ']",3
33,김도훈,,"[' 목표가 생겼다 ', ' 다크홀 ']",2
34,정상훈,,"[' 바람피면 죽는다 ', ' 번외수사 ', ' 빅 포레스트 ', ' 데릴남편 오작두 ']",4
35,권율,,"[' 달리와 감자탕 ', ' 해치 ', ' 귓속말 ']",3
37,노종현,,[' 라이브온 '],1
38,로운,,"[' 내일 ', ' 연모 ', ' 선배, 그 립스틱 바르지 마요 ', ' 어쩌다 발견한 하루 ', ' 훈장 오순남 ']",5
39,조우진,,"[' 해피니스 ', ' 드라마 스테이지 ']",2
41,하준,,"[' 배드 앤 크레이지 ', ' 하이클래스 ', ' 불새 2020 ', ' 18 어게인 ', ' 미씽: 그들이 있었다 ', ' 시네마틱 드라마 SF8 ', ' 블랙독 ']",7
42,윤상현,,"[' 18 어게인 ', ' 손 꼭 잡고, 지는 석양을 바라보자 ']",2
44,최희서,,"[' 지금, 헤어지는 중입니다 ', ' 빅 포레스트 ']",2
46,최원영,,"[' 꽃 피면 달 생각하고 ', ' 너를 닮은 사람 ', ' 나의 위험한 아내 ', ' 앨리스 ', ' 쌍갑포차 ', ' KBS 드라마 스페셜 2019 ', ' 닥터 프리즈너 ', ' SKY 캐슬 ']",8
47,이연희,,"[' 시네마틱 드라마 SF8 ', ' 더 게임:0시를 향하여 ', ' 더 패키지 ', ' 다시 만난 세계 ']",4
49,신승호,,"[' 계약우정 ', ' 열여덟의 순간 ']",2
51,진영,,"[' 불가살 ', ' 경찰수업 ', ' 악마판사 ', ' 아는 건 별로 없지만 가족입니다 ', ' 화양연화 - 삶이 꽃이 되는 순간 ']",5
52,이주빈,,"[' 드라마 스테이지 2021 ', ' 선배, 그 립스틱 바르지 마요 ', ' 안녕 드라큘라 ']",3
53,이서진,,"[' 타임즈 ', ' 트랩 ']",2
54,이혜리,,[' 청일전자 미쓰리 '],1
57,정지소,,"[' 이미테이션 ', ' 방법 ']",2
58,이진욱,,"[' 불가살 ', ' 보이스 시즌3 ', ' 보이스 시즌2 ', ' 리턴 ']",4
59,혜리,,"[' 꽃 피면 달 생각하고 ', ' 간 떨어지는 동거 ', ' 청일전자 미쓰리 ', ' 투깝스 ']",4
60,전지현,,[' 지리산 '],1
63,손호준,,"[' 우리, 사랑했을까 ', ' 눈이 부시게 ', ' 내 뒤에 테리우스 ', ' 고백부부 ', ' 드라마스페셜-만나게해,주오 ']",5
66,유다인,,[' 출사표 '],1
68,신하균,,"[' 괴물 ', ' 영혼수선공 ', ' 나쁜형사 ']",3
69,안보현,,"[' 군검사 도베르만 ', ' 유미의 세포들 ', ' 카이로스 ', ' 그녀의 사생활 ']",4
70,위하준,,"[' 배드 앤 크레이지 ', ' 18 어게인 ']",2
71,배인혁,,"[' 멀리서 보면 푸른 봄 ', ' 간 떨어지는 동거 ', ' 나를 사랑한 스파이 ', ' 엑스엑스(XX) ']",4
72,수영,,"[' 목표가 생겼다 ', ' 아이를 찾습니다 ', ' 런 온 ', ' 본 대로 말하라 ', ' 슬플 때 사랑한다 ']",5
73,허준호,,"[' 언더커버 ', ' 미씽: 그들이 있었다 ', ' 60일, 지정생존자 ', ' 이리와 안아줘 ', ' 군주-가면의 주인 ']",5
75,윤세아,,"[' 설강화 : snowdrop ', ' 더 로드 : 1의 비극 ', ' KBS 드라마 스페셜 2020 ', ' 비밀의 숲 2 ', ' 날 녹여주오 ', ' SKY 캐슬 ']",6
76,김성철,,"[' 그 해 우리는 ', ' 브람스를 좋아하세요? ', ' 바람이 분다 ', ' 투 제니(TO.JENNY) ', ' 슬기로운 감빵생활 ']",5
77,이신영,,[' 계약우정 '],1
78,라미란,,"[' 블랙독 ', ' 막돼먹은 영애씨 시즌17 ', ' 부암동 복수자들 ']",3
79,하석진,,"[' 내가 가장 예뻤을 때 ', ' 당신의 하우스헬퍼 ']",2
80,김환희,,"[' 목표가 생겼다 ', ' 날씨가 좋으면 찾아가겠어요 ']",2
82,추자현,,"[' 아는 건 별로 없지만 가족입니다 ', ' 아름다운 세상 ']",2
83,김강우,,"[' 공작도시 ', ' 99억의 여자 ', ' 아이템 ', ' 옥란면옥 ', ' 데릴남편 오작두 ', ' 써클 : 이어진 두 세계 ']",6
84,김서형,,"[' 마인 ', ' 아무도 모른다 ']",2
85,김혜준,,"[' 구경이 ', ' 십시일반 ']",2
86,권화운,,[' 이벤트를 확인하세요 '],1
88,고경표,,"[' 사생활 ', ' 크로스 ', ' 최강배달꾼 ', ' 시카고 타자기 ']",4
89,추영우,,"[' 학교 2021 ', ' 경찰수업 ']",2
90,공명,,"[' 홍천기 ', ' 행복의 진수 ', ' 멜로가 체질 ', ' 죽어도 좋아 ', ' 변혁의 사랑 ', ' 개인주의자 지영씨 ']",6
91,이규형,,"[' 하이바이, 마마! ', ' 의사요한 ', ' 슬기로운 감빵생활 ']",3
94,김지은,,[' 검은 태양 '],1
95,조한선,,[' 미쓰리는 알고 있다 '],1
97,한예리,,"[' 홈타운 ', ' 아는 건 별로 없지만 가족입니다 ', ' 녹두꽃 ', ' 스위치 - 세상을 바꿔라 ', ' 청춘시대2 ']",5
99,김의성,,"[' 모범택시 ', ' 국민 여러분! ']",2
100,김현주,,"[' 언더커버 ', ' WATCHER (왓쳐) ', ' 우리가 만난 기적 ']",3
101,박성훈,,"[' KBS 드라마 스페셜 2021 ', ' 조선구마사 ', ' 출사표 ', ' 싸이코패스 다이어리 ', ' 저스티스 ', ' 2018 KBS 드라마 스페셜 ']",6
106,문정혁,,[' 나를 사랑한 스파이 '],1
107,안재현,,[' 하자있는 인간들 '],1
108,진서연,,"[' 원 더 우먼 ', ' 본 대로 말하라 ']",2
111,유인나,,"[' 설강화 : snowdrop ', ' 나를 사랑한 스파이 ', ' 진심이 닿다 ']",3
112,한지은,,"[' 배드 앤 크레이지 ', ' 꼰대인턴 ', ' 멜로가 체질 ']",3
113,김슬기,,"[' 하자있는 인간들 ', ' 파수꾼 ']",2
115,황정민,,[' 허쉬 '],1
116,안소희,,"[' 서른, 아홉 ', ' 드라마 스테이지 2021 ', ' 미씽: 그들이 있었다 ', ' 으라차차 와이키키 시즌2 ']",4
118,유재명,,"[' 홈타운 ', ' 빈센조 ', ' 이태원 클라쓰 ', ' 자백 ', ' 탁구공 ', ' 라이프 ']",6
119,이준,,"[' 불가살 ', ' 아버지가 이상해 ']",2
121,최진혁,,"[' KBS 드라마 스페셜 2021 ', ' 좀비탐정 ', ' 루갈 ', ' 저스티스 ', ' 황후의 품격 ', ' 마성의 기쁨 ', ' 터널 ']",7
122,임화영,,[' 드라마 스페셜-당신은 생각보다 가까이에 있다 '],1
123,양희경,,[],0
126,박주현,,"[' 마우스 ', ' 좀비탐정 ']",2
127,김병철,,"[' 쌉니다 천리마마트 ', ' 닥터 프리즈너 ', ' SKY 캐슬 ', ' 터널 ']",4
128,김소은,,"[' 연애는 귀찮지만 외로운 건 싫어! ', ' 그남자 오수 ', ' 드라마 스페셜-당신은 생각보다 가까이에 있다 ']",3
129,이지현,,[' 안녕 드라큘라 '],1
131,이민기,,"[' 오! 주인님 ', ' 모두의 거짓말 ', ' 뷰티 인사이드 ', ' 이번 생은 처음이라 ']",4
132,태인호,,"[' 시지프스 : the myth ', ' 영혼수선공 ', ' 국민 여러분! ']",3
135,김설현,,[' 낮과 밤 '],1
137,지수,,[' 설강화 : snowdrop '],1
138,고보결,,"[' 하이바이, 마마! ']",1
139,고준,,"[' 바람피면 죽는다 ', ' 오 마이 베이비 ', ' 2018 KBS 드라마 스페셜 ', ' 열혈사제 ', ' 미스티 ', ' 구해줘 ']",6
141,황민현,,[' 라이브온 '],1
142,윤현민,,"[' 복수해라 ', ' 그놈이 그놈이다 ', ' 계룡선녀전 ', ' 마녀의 법정 ', ' 터널 ']",5
143,류혜영,,"[' 로스쿨 ', ' 은주의 방 ']",2
145,김옥빈,,"[' 다크홀 ', ' 아스달 연대기 ', ' 작은 신의 아이들 ']",3
151,주지훈,,"[' 지리산 ', ' 하이에나 ', ' 아이템 ']",3
152,강말금,,[' 대박부동산 '],1
154,윤종훈,,"[' 펜트하우스3 ', ' 펜트하우스2 ', ' 펜트하우스 ', ' 내 사랑 치유기 ']",4
156,고민시,,"[' 지리산 ', ' 오월의 청춘 ', ' KBS 드라마 스페셜 2020 ', ' 시크릿 부티크 ']",4
157,김혜윤,,"[' 설강화 : snowdrop ', ' 어사와 조이 ', ' 어쩌다 발견한 하루 ']",3
158,유인영,,"[' 크레이지 러브 ', ' 굿캐스팅 ', ' 손 꼭 잡고, 지는 석양을 바라보자 ']",3
159,김지석,,"[' 월간 집 ', ' 어쩌다 가족 ', ' 아는 건 별로 없지만 가족입니다 ', ' 동백꽃 필 무렵 ', ' 톱스타 유백이 ', ' 20세기 소년소녀 ']",6
160,탕준상,,[' 라켓소년단 '],1
163,육성재,,[' 쌍갑포차 '],1
166,장영남,,"[' 뫼비우스: 검은태양 ', ' KBS 드라마 스페셜 2021 ', ' 검은 태양 ', ' 악마판사 ']",4
167,손현주,,"[' 트레이서 ', ' 모범형사 ', ' 저스티스 ', ' 크리미널마인드 ']",4
168,최수영,,"[' 런 온 ', ' 본 대로 말하라 ', ' 밥상차리는 남자 ']",3
169,이청아,,"[' 낮과 밤 ', ' 안녕 드라큘라 ', ' VIP ', ' 단짠 오피스 ']",4
170,이준혁,,"[' 해피니스 ', ' 다크홀 ', ' 비밀의 숲 2 ', ' 쌍갑포차 ', ' 365 : 운명을 거스르는 1년 ', ' 모두의 거짓말 ', ' 60일, 지정생존자 ', ' 시를 잊은 그대에게 ']",8
174,변우석,,"[' 꽃 피면 달 생각하고 ', ' 청춘기록 ', ' 조선혼담공작소 꽃파당 ', ' 모두의 연애 ']",4
175,김효진,,"[' 인간실격 ', ' 사생활 ']",2
176,한선화,,"[' 술꾼도시여자들 ', ' 편의점 샛별이 ', ' 데릴남편 오작두 ']",3
177,경수진,,"[' 마우스 ', ' 트레인 ', ' 조선생존기 ', ' 멜로홀릭 ']",4
180,이이경,,"[' 암행어사: 조선비밀수사단 ', ' 드라마 스테이지 2020 ', ' 으라차차 와이키키 시즌2 ', ' 붉은 달 푸른 해 ']",4
181,정문성,,"[' 뫼비우스: 검은태양 ', ' 슬기로운 의사생활2 ', ' 방법 ']",3
185,박건일,,[' 연애는 귀찮지만 외로운 건 싫어! '],1
186,박지훈,,"[' 멀리서 보면 푸른 봄 ', ' 조선혼담공작소 꽃파당 ']",2
189,우도환,,"[' 더 킹 : 영원의 군주 ', ' 나의 나라 ', ' 위대한 유혹자 ']",3
191,조동혁,,"[' 루갈 ', ' 평일 오후 세시의 연인 ']",2
193,서지훈,,"[' 그놈이 그놈이다 ', ' 어서와 ', ' 조선혼담공작소 꽃파당 ', ' 애간장 ']",4
194,이학주,,"[' 공작도시 ', ' 사생활 ', ' 야식남녀 ']",3
196,배종옥,,"[' 철인왕후 ', ' 우아한 가 ', ' 60일, 지정생존자 ', ' 라이브(Live) ', ' 이름 없는 여자 ']",5
197,김상경,,"[' 라켓소년단 ', ' 청일전자 미쓰리 ']",2
201,송지효,,"[' 마녀식당으로 오세요 ', ' 우리, 사랑했을까 ', ' 러블리 호러블리 ', ' 드라마 스테이지 ']",4
202,김범,,"[' 고스트 닥터 ', ' 로스쿨 ', ' 구미호뎐 ']",3
204,신성록,,"[' 카이로스 ', ' 배가본드 ', ' 퍼퓸 ', ' 황후의 품격 ', ' 리턴 ']",5
207,박병은,,"[' 인간실격 ', ' 오 마이 베이비 ', ' 친애하는 판사님께 ', ' 이번 생은 처음이라 ', ' 추리의 여왕 ']",5
209,윤보미,,[' 제발 그 남자 만나지 마요 '],1
210,박규영,,"[' 달리와 감자탕 ', ' 악마판사 ', ' 사이코지만 괜찮아 ']",3
211,김정영,,"[' KBS 드라마 스페셜 2021 ', ' 십시일반 ']",2
212,김주헌,,"[' 지금, 헤어지는 중입니다 ', ' 도도솔솔라라솔 ', ' 사이코지만 괜찮아 ']",3
213,황인엽,,[' 여신강림 '],1
216,최무성,,"[' 비밀의 숲 2 ', ' 슬기로운 감빵생활 ']",2
217,유준상,,"[' 경이로운 소문 ', ' 우아한 친구들 ', ' 왜그래 풍상씨 ', ' 조작 ']",4
218,지현우,,"[' 신사와 아가씨 ', ' 연애는 귀찮지만 외로운 건 싫어! ', ' 슬플 때 사랑한다 ', ' 사생결단 로맨스 ', ' 도둑놈 도둑님 ']",5
219,조성하,,"[' 나빌레라 ', ' 날아라 개천용 ', ' 메모리스트 ', ' 백일의 낭군님 ']",4
220,정재영,,"[' 미치지 않고서야 ', ' 검법남녀 시즌2 ', ' 검법남녀 ', ' 듀얼 ']",4
221,신현빈,,"[' 너를 닮은 사람 ', ' 슬기로운 의사생활2 ', ' 자백 ', ' 미스트리스 ']",4
222,강훈,,"[' 옷소매 붉은 끝동 ', ' 너는 나의 봄 ', ' 신입사관 구해령 ', ' 어서와 ']",4
224,김명수,,"[' 태종 이방원 ', ' 암행어사: 조선비밀수사단 ', ' 어서와 ', ' 우아한 모녀 ', ' 단, 하나의 사랑 ', ' 미스 함무라비 ']",6
225,정소민,,"[' 월간 집 ', ' 영혼수선공 ', ' 하늘에서 내리는 일억개의 별 ', ' 이번 생은 처음이라 ']",4
226,이하늬,,"[' 원 더 우먼 ', ' 열혈사제 ']",2
227,엄태구,,"[' 홈타운 ', ' 구해줘 2 ']",2
230,김태희,,"[' 하이바이, 마마! ']",1
232,문소리,,"[' 미치지 않고서야 ', ' 시네마틱 드라마 SF8 ', ' 라이프 ']",3
233,이현욱,,"[' 마인 ', ' 선배, 그 립스틱 바르지 마요 ', ' 써치 ', ' 타인은 지옥이다 ']",4
237,이선빈,,"[' 술꾼도시여자들 ', ' 번외수사 ', ' 위대한 쇼 ', ' 스케치 ', ' 크리미널마인드 ']",5
238,강성연,,"[' 미쓰리는 알고 있다 ', ' 돌아온 복단지 ']",2
240,정웅인,,"[' 날아라 개천용 ', ' 보좌관2 - 세상을 움직이는 사람들 ', ' 미스 마:복수의 여신 ', ' 스위치 - 세상을 바꿔라 ']",4
241,곽시양,,"[' IDOL (아이돌 : The Coup) ', ' 홍천기 ', ' 앨리스 ', ' 웰컴2라이프 ', ' 시카고 타자기 ']",5
243,김소혜,,"[' 학교기담 ', ' 계약우정 ', ' 최고의 치킨 ']",3
244,이준호,,"[' 옷소매 붉은 끝동 ', ' 그냥 사랑하는 사이 ']",2
245,임원희,,"[' 꽃 피면 달 생각하고 ', ' 낭만닥터 김사부 2 ', ' 날 녹여주오 ']",3
247,정다빈,,[' 라이브온 '],1
248,류준열,,[' 인간실격 '],1
249,김미숙,,"[' 공작도시 ', ' 사랑은 뷰티풀 인생은 원더풀 ']",2
252,김영광,,"[' 안녕? 나야! ', ' 초면에 사랑합니다 ', ' 나인룸 ', ' 파수꾼 ']",4
253,송하윤,,"[' 제발 그 남자 만나지 마요 ', ' 마성의 기쁨 ', ' 쌈, 마이웨이 ']",3
254,장혜진,,"[' 여신강림 ', ' 산후조리원 ', ' 루왁인간 ']",3
255,한효주,,[' 해피니스 '],1
256,이상엽,,"[' 미치지 않고서야 ', ' 굿캐스팅 ', ' 한 번 다녀왔습니다 ', ' 평일 오후 세시의 연인 ']",4
257,수애,,[' 공작도시 '],1
258,이세영,,"[' 옷소매 붉은 끝동 ', ' 카이로스 ', ' 메모리스트 ', ' 의사요한 ', ' 왕이 된 남자 ', ' 화유기 ', ' 최고의 한방 ']",7
260,김혜은,,"[' 스물다섯 스물하나 ', ' 더 로드 : 1의 비극 ', ' 우아한 친구들 ']",3
261,박신아,,[' 미쓰리는 알고 있다 '],1
262,강민아,,[' 멀리서 보면 푸른 봄 '],1
263,윤박,,"[' 기상청 사람들 : 사내연애 잔혹사 편 ', ' 너는 나의 봄 ', ' 산후조리원 ', ' 써치 ', ' 사랑은 뷰티풀 인생은 원더풀 ', ' 리갈하이 ', ' 라디오 로맨스 ', ' 내성적인 보스 ']",8
264,지진희,,"[' 더 로드 : 1의 비극 ', ' 언더커버 ', ' 60일, 지정생존자 ', ' 미스티 ']",4
265,이희준,,"[' 키마이라 ', ' 마우스 ', ' 미스트리스 ']",3
268,차태현,,"[' 경찰수업 ', ' 번외수사 ', ' 최고의 이혼 ']",3
269,강민혁,,"[' 오! 주인님 ', ' 병원선 ']",2
270,강지영,,[' 야식남녀 '],1
272,정우성,,[],0
273,김해숙,,"[' 구경이 ', ' 슬기로운 의사생활2 ', ' 스타트업 ', ' 슬기로운 의사생활 ', ' 세상에서 제일 예쁜 내 딸 ', ' 나인룸 ', ' 아버지가 이상해 ']",7
276,나나,,"[' 오! 주인님 ', ' 출사표 ', ' 저스티스 ', ' 킬잇 ']",4
280,문정희,,"[' 타임즈 ', ' 써치 ', ' 날씨가 좋으면 찾아가겠어요 ', ' 배가본드 ']",4
282,장승조,,"[' 설강화 : snowdrop ', ' 모범형사 ', ' 초콜릿 ', ' 아는 와이프 ']",4
283,김응수,,"[' 날아라 개천용 ', ' 꼰대인턴 ', ' 청일전자 미쓰리 ', ' 차달래 부인의 사랑 ']",4
284,윤아,,"[' 허쉬 ', ' 왕은 사랑한다 ']",2
285,최우식,,"[' 그 해 우리는 ', ' 더 패키지 ']",2
286,이선균,,"[' 검사내전 ', ' 나의 아저씨 ', ' 다시 만나는 하얀거탑UHD ']",3
288,전도연,,[' 인간실격 '],1
290,조이현,,[' 학교 2021 '],1
292,남윤수,,[' 연모 '],1
293,임주환,,"[' 나를 사랑한 스파이 ', ' 더 게임:0시를 향하여 ', ' 위대한 쇼 ', ' 이몽 ']",4
294,공민정,,"[' 갯마을 차차차 ', ' 제발 그 남자 만나지 마요 ']",2
296,정수정,,"[' 크레이지 러브 ', ' 경찰수업 ', ' 써치 ', ' 플레이어 ']",4
300,배성우,,"[' 날아라 개천용 ', ' 라이브(Live) ']",2
301,이상이,,"[' 갯마을 차차차 ', ' 오월의 청춘 ']",2
303,서인국,,"[' 어느 날 우리 집 현관으로 멸망이 들어왔다 ', ' 하늘에서 내리는 일억개의 별 ']",2
304,오나라,,"[' 라켓소년단 ', ' 십시일반 ', ' 99억의 여자 ']",3
305,김지수,,"[' 하이클래스 ', ' 365 : 운명을 거스르는 1년 ', ' 여우각시별 ']",3
306,정은채,,"[' 더 킹 : 영원의 군주 ', ' 손 the guest ']",2
